pose_x,pose_y,pose_z,pose_qx,pose_qy,pose_qz,pose_qw
-0.300911,-0.658566,0.564164,-0.0725801,0.990777,-0.113427,-0.0150954
-0.227671,-0.682451,0.664685,-0.133344,0.967127,-0.215372,-0.0223464
-0.153057,-0.682841,0.767003,-0.191512,0.929154,-0.315537,-0.0207993
-0.0828267,-0.659664,0.868578,-0.24491,0.877471,-0.412244,-0.0109129
-0.0226473,-0.61441,0.966828,-0.291467,0.813063,-0.503916,0.00663889
0.0223194,-0.55007,1.05921,-0.329281,0.737265,-0.589114,0.0309872
0.047808,-0.470967,1.14332,0.356674,-0.65173,0.666558,-0.0610931
0.0622369,-0.35291,1.23773,0.374471,-0.528962,0.748781,-0.138914
0.212802,-0.479667,1.10337,-0.342044,0.702192,-0.570946,0.25289
0.354641,-0.563828,0.909147,-0.257378,0.861164,-0.349665,0.264361
0.458382,-0.583688,0.694267,-0.138225,0.96334,-0.145392,0.178131
0.511539,-0.54927,0.475474,-0.00052853,0.999962,0.00689243,0.00525853
