time_from_start,shoulder_pan_joint_pos,shoulder_lift_joint_pos,elbow_joint_pos,wrist_1_joint_pos,wrist_2_joint_pos,wrist_3_joint_pos,shoulder_pan_joint_vel,shoulder_lift_joint_vel,elbow_joint_vel,wrist_1_joint_vel,wrist_2_joint_vel,wrist_3_joint_vel,shoulder_pan_joint_acc,shoulder_lift_joint_acc,elbow_joint_acc,wrist_1_joint_acc,wrist_2_joint_acc,wrist_3_joint_acc,fk_x,fk_y,fk_z,fk_qx,fk_qy,fk_qz,fk_qw
0.000000,-1.600700,-1.727100,-2.203000,-0.808000,1.595100,-0.031000,-0.000500,-0.000052,0.000262,-0.000215,-0.000016,-0.000500,-0.500000,-0.051909,0.262221,-0.215293,-0.016275,-0.499769,-0.189632,-0.609684,0.260971,-0.000392,0.999843,0.012478,0.012536
0.100000,-1.603200,-1.727360,-2.201689,-0.809076,1.595019,-0.033499,-0.050000,-0.005191,0.026222,-0.021529,-0.001628,-0.049977,-0.500000,-0.051909,0.262221,-0.215293,-0.016275,-0.499769,-0.191183,-0.609787,0.261367,-0.000392,0.999844,0.012461,0.012527
0.200000,-1.610700,-1.728138,-2.197756,-0.812306,1.594774,-0.040995,-0.100000,-0.010382,0.052444,-0.043059,-0.003255,-0.099954,-0.500000,-0.051909,0.262221,-0.215293,-0.016275,-0.499769,-0.195849,-0.610072,0.262557,-0.000391,0.999845,0.012409,0.012500
0.300000,-1.623200,-1.729436,-2.191200,-0.817688,1.594368,-0.053490,-0.150000,-0.015573,0.078666,-0.064588,-0.004883,-0.149931,-0.500000,-0.051909,0.262221,-0.215293,-0.016275,-0.499769,-0.203658,-0.610457,0.264550,-0.000390,0.999846,0.012325,0.012454
0.400000,-1.640700,-1.731253,-2.182022,-0.825223,1.593798,-0.070981,-0.200000,-0.020764,0.104888,-0.086117,-0.006510,-0.199907,-0.500000,-0.051909,0.262221,-0.215293,-0.016275,-0.499769,-0.214657,-0.610808,0.267355,-0.000389,0.999849,0.012212,0.012390
0.500000,-1.661555,-1.733418,-2.171085,-0.834203,1.593119,-0.091827,-0.209440,-0.021744,0.109839,-0.090182,-0.006817,-0.209343,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,-0.227858,-0.610937,0.270725,-0.000387,0.999851,0.012085,0.012313
0.600000,-1.682499,-1.735592,-2.160101,-0.843221,1.592437,-0.112761,-0.209440,-0.021744,0.109839,-0.090182,-0.006817,-0.209343,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,-0.241211,-0.610745,0.274136,-0.000386,0.999853,0.011967,0.012237
0.700000,-1.703443,-1.737767,-2.149117,-0.852240,1.591756,-0.133695,-0.209440,-0.021744,0.109839,-0.090182,-0.006817,-0.209343,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,-0.254652,-0.610228,0.277575,-0.000384,0.999856,0.011857,0.012160
0.800000,-1.724387,-1.739941,-2.138134,-0.861258,1.591074,-0.154629,-0.209440,-0.021744,0.109839,-0.090182,-0.006817,-0.209343,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,-0.268171,-0.609380,0.281042,-0.000383,0.999858,0.011755,0.012085
0.900000,-1.745331,-1.742115,-2.127150,-0.870276,1.590392,-0.175564,-0.209440,-0.021744,0.109839,-0.090182,-0.006817,-0.209343,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,-0.281760,-0.608200,0.284535,-0.000382,0.999860,0.011661,0.012011
