timestamp,shoulder_lift_joint_pos,elbow_joint_pos,wrist_1_joint_pos,wrist_2_joint_pos,wrist_3_joint_pos,shoulder_pan_joint_pos,shoulder_lift_joint_vel,elbow_joint_vel,wrist_1_joint_vel,wrist_2_joint_vel,wrist_3_joint_vel,shoulder_pan_joint_vel,shoulder_lift_joint_eff,elbow_joint_eff,wrist_1_joint_eff,wrist_2_joint_eff,wrist_3_joint_eff,shoulder_pan_joint_eff
1751352763.426379442,-1.821519000,-1.195870000,-1.728311000,1.583009000,-0.437827000,-2.007661000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,5.183430651,4.258911032,0.299857931,0.001007635,0.000000000,0.000000000
1751352763.427660227,-1.821519000,-1.195870000,-1.728311000,1.583009000,-0.437827000,-2.007661000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,5.183430651,4.258911032,0.299857931,0.001007635,0.000000000,0.000000000
1751352763.429216623,-1.821519000,-1.195870000,-1.728311000,1.583009000,-0.437827000,-2.007661000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,5.183430651,4.258911032,0.299857931,0.001007635,0.000000000,0.000000000
1751352763.431389332,-1.821519000,-1.195870000,-1.728311000,1.583009000,-0.437827000,-2.007661000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,5.183430651,4.258911032,0.299857931,0.001007635,0.000000000,0.000000000
1751352763.433556795,-1.821519000,-1.195870000,-1.728311000,1.583009000,-0.437827000,-2.007661000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,5.183430651,4.258911032,0.299857931,0.001007635,0.000000000,0.000000000
1751352763.437231541,-1.821519000,-1.195870000,-1.728311000,1.583009000,-0.437827000,-2.007661000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,5.183430651,4.258911032,0.299857931,0.001007635,0.000000000,0.000000000
1751352763.437370777,-1.821519000,-1.195870000,-1.728311000,1.583009000,-0.437827000,-2.007661000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,5.183430651,4.258911032,0.299857931,0.001007635,0.000000000,0.000000000
1751352763.439388752,-1.821519000,-1.195870000,-1.728311000,1.583009000,-0.437827000,-2.007661000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,5.183430651,4.258911032,0.299857931,0.001007635,0.000000000,0.000000000
1751352763.441361904,-1.821519000,-1.195870000,-1.728311000,1.583009000,-0.437827000,-2.007661000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,5.183430651,4.258911032,0.299857931,0.001007635,0.000000000,0.000000000
1751352763.443190098,-1.821519000,-1.195870000,-1.728311000,1.583009000,-0.437827000,-2.007661000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,5.183430651,4.258911032,0.299857931,0.001007635,0.000000000,0.000000000
1751352763.445276737,-1.821519000,-1.195870000,-1.728311000,1.583009000,-0.437827000,-2.007661000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,5.183430651,4.258911032,0.299857931,0.001007635,0.000000000,0.000000000
1751352763.447187901,-1.821518805,-1.195869420,-1.728311163,1.583008925,-0.437826000,-2.007661641,0.000195121,0.000579620,-0.000162998,-0.000074565,0.001000000,-0.000640658,5.421185098,4.428178946,0.302393620,-0.003330546,0.028195874,-0.298395259
1751352763.449193001,-1.821518220,-1.195867682,-1.728311652,1.583008702,-0.437823000,-2.007663563,0.000390242,0.001159240,-0.000325995,-0.000149130,0.002000000,-0.001281316,5.421181411,4.428178079,0.302393769,-0.003330559,0.028195874,-0.298394941
1751352763.451105118,-1.821517244,-1.195864783,-1.728312467,1.583008329,-0.437818000,-2.007666766,0.000585363,0.001738860,-0.000488993,-0.000223695,0.003000000,-0.001921975,5.421175266,4.428176633,0.302394016,-0.003330579,0.028195874,-0.298394411
1751352763.454148531,-1.821515878,-1.195860726,-1.728313608,1.583007807,-0.437811000,-2.007671251,0.000780484,0.002318481,-0.000651990,-0.000298260,0.004000000,-0.002562633,5.421166662,4.428174608,0.302394362,-0.003330608,0.028195874,-0.298393668
1751352763.455142736,-1.821514122,-1.195855509,-1.728315075,1.583007136,-0.437802000,-2.007677016,0.000975605,0.002898101,-0.000814988,-0.000372825,0.005000000,-0.003203291,5.421155600,4.428172005,0.302394807,-0.003330644,0.028195874,-0.298392714
1751352763.457253218,-1.821511976,-1.195849134,-1.728316868,1.583006316,-0.437791000,-2.007684064,0.001170726,0.003477721,-0.000977986,-0.000447390,0.006000000,-0.003843949,5.421142079,4.428168823,0.302395351,-0.003330689,0.028195875,-0.298391547
1751352763.459146976,-1.821509439,-1.195841599,-1.728318987,1.583005346,-0.437778000,-2.007692392,0.001365847,0.004057341,-0.001140983,-0.000521955,0.007000000,-0.004484607,5.421126099,4.428165062,0.302395995,-0.003330742,0.028195875,-0.298390168
1751352763.461325407,-1.821506512,-1.195832904,-1.728321432,1.583004228,-0.437763000,-2.007702002,0.001560968,0.004636961,-0.001303981,-0.000596520,0.008000000,-0.005125266,5.421107661,4.428160723,0.302396736,-0.003330804,0.028195875,-0.298388577
1751352763.463167429,-1.821503195,-1.195823051,-1.728324203,1.583002960,-0.437746000,-2.007712893,0.001756089,0.005216581,-0.001466978,-0.000671085,0.009000000,-0.005765924,5.421086764,4.428155803,0.302397577,-0.003330873,0.028195875,-0.298386774
1751352763.465551138,-1.821503195,-1.195823051,-1.728324203,1.583002960,-0.437746000,-2.007712893,0.001756089,0.005216581,-0.001466978,-0.000671085,0.009000000,-0.005765924,5.421086764,4.428155803,0.302397577,-0.003330873,0.028195875,-0.298386774
1751352763.467462301,-1.821499488,-1.195812038,-1.728327300,1.583001544,-0.437727000,-2.007725066,0.001951210,0.005796201,-0.001629976,-0.000745650,0.010000000,-0.006406582,5.421063408,4.428150305,0.302398517,-0.003330951,0.028195875,-0.298384758
1751352763.469688654,-1.821495390,-1.195799866,-1.728330723,1.582999978,-0.437706000,-2.007738520,0.002146330,0.006375821,-0.001792974,-0.000820215,0.011000000,-0.007047240,5.421037592,4.428144227,0.302399556,-0.003331037,0.028195875,-0.298382530
1751352763.471233368,-1.821490903,-1.195786535,-1.728334472,1.582998263,-0.437683000,-2.007753255,0.002341451,0.006955442,-0.001955971,-0.000894780,0.012000000,-0.007687898,5.421009317,4.428137568,0.302400693,-0.003331131,0.028195875,-0.298380089
1751352763.473195791,-1.821486025,-1.195772044,-1.728338547,1.582996399,-0.437658000,-2.007769271,0.002536572,0.007535062,-0.002118969,-0.000969345,0.013000000,-0.008328557,5.420978581,4.428130329,0.302401930,-0.003331233,0.028195875,-0.298377436
1751352763.475137711,-1.821480756,-1.195756394,-1.728342948,1.582994385,-0.437631000,-2.007786569,0.002731693,0.008114682,-0.002281966,-0.001043910,0.014000000,-0.008969215,5.420945386,4.428122510,0.302403265,-0.003331343,0.028195875,-0.298374570
1751352763.477274179,-1.821475098,-1.195739585,-1.728347674,1.582992223,-0.437602000,-2.007805148,0.002926814,0.008694302,-0.002444964,-0.001118475,0.015000000,-0.009609873,5.420909729,4.428114110,0.302404699,-0.003331461,0.028195875,-0.298371492
1751352763.488043070,-1.821448561,-1.195660757,-1.728369842,1.582982082,-0.437466000,-2.007892278,0.003707298,0.011012783,-0.003096954,-0.001416735,0.019000000,-0.012172506,5.420742491,4.428074688,0.302411422,-0.003332017,0.028195875,-0.298357051
1751352763.488094807,-1.821440952,-1.195638152,-1.728376199,1.582979174,-0.437427000,-2.007917263,0.003902419,0.011592403,-0.003259952,-0.001491300,0.020000000,-0.012813164,5.420694525,4.428063376,0.302413350,-0.003332176,0.028195876,-0.298352908
1751352763.489221811,-1.821432952,-1.195614388,-1.728382882,1.582976117,-0.437386000,-2.007943530,0.004097540,0.012172023,-0.003422950,-0.001565865,0.021000000,-0.013453822,5.420644097,4.428051480,0.302415377,-0.003332343,0.028195876,-0.298348553
1751352763.492660761,-1.821424561,-1.195589464,-1.728389891,1.582972911,-0.437343000,-2.007971079,0.004292661,0.012751643,-0.003585947,-0.001640430,0.022000000,-0.014094480,5.420591205,4.428038999,0.302417502,-0.003332519,0.028195876,-0.298343983
1751352763.493321180,-1.821415781,-1.195563381,-1.728397226,1.582969555,-0.437298000,-2.007999908,0.004487782,0.013331263,-0.003748945,-0.001714995,0.023000000,-0.014735139,5.420535849,4.428025934,0.302419726,-0.003332703,0.028195876,-0.298339201
1751352763.495718479,-1.821406610,-1.195536139,-1.728404887,1.582966051,-0.437251000,-2.008030019,0.004682903,0.013910883,-0.003911942,-0.001789560,0.024000000,-0.015375797,5.420478028,4.428012282,0.302422048,-0.003332895,0.028195876,-0.298334204
1751352763.497295141,-1.821397049,-1.195507737,-1.728412873,1.582962397,-0.437202000,-2.008061411,0.004878024,0.014490503,-0.004074940,-0.001864125,0.025000000,-0.016016455,5.420417742,4.427998045,0.302424469,-0.003333095,0.028195876,-0.298328995
1751352763.499238253,-1.821387098,-1.195478177,-1.728421186,1.582958594,-0.437151000,-2.008094085,0.005073145,0.015070124,-0.004237937,-0.001938690,0.026000000,-0.016657113,5.420354990,4.427983220,0.302426989,-0.003333303,0.028195876,-0.298323571
1751352763.501179457,-1.821376757,-1.195447457,-1.728429825,1.582954642,-0.437098000,-2.008128040,0.005268266,0.015649744,-0.004400935,-0.002013255,0.027000000,-0.017297771,5.420289771,4.427967808,0.302429607,-0.003333519,0.028195877,-0.298317933
1751352763.503169298,-1.821366025,-1.195415578,-1.728438790,1.582950541,-0.437043000,-2.008163276,0.005463387,0.016229364,-0.004563933,-0.002087820,0.028000000,-0.017938430,5.420222085,4.427951808,0.302432323,-0.003333743,0.028195877,-0.298312081
1751352763.505432844,-1.821354903,-1.195382539,-1.728448081,1.582946291,-0.436986000,-2.008199794,0.005658508,0.016808984,-0.004726930,-0.002162385,0.029000000,-0.018579088,5.420151932,4.427935218,0.302435138,-0.003333976,0.028195877,-0.298306015
1751352763.508449554,-1.821354903,-1.195382539,-1.728448081,1.582946291,-0.436986000,-2.008199794,0.005658508,0.016808984,-0.004726930,-0.002162385,0.029000000,-0.018579088,5.420151932,4.427935218,0.302435138,-0.003333976,0.028195877,-0.298306015
