time_from_start,shoulder_pan_joint,shoulder_lift_joint,elbow_joint,wrist_1_joint,wrist_2_joint,wrist_3_joint,pose_x,pose_y,pose_z,pose_qx,pose_qy,pose_qz,pose_qw
0,-2.03646,-1.57982,-1.57272,-1.59337,1.58224,-0.466766,-0.465549,-0.541544,0.666624,-0.000454028,0.999843,0.012399,0.0126455
0.1,-2.03396,-1.57982,-1.57212,-1.59377,1.58098,-0.465975,-0.464339,-0.542667,0.666989,-0.00131986,0.999847,0.0126133,0.0120149
0.2,-2.02646,-1.57983,-1.5703,-1.59497,1.57718,-0.463604,-0.460691,-0.546018,0.668086,-0.00391662,0.999853,0.0132441,0.0101188
0.3,-2.01396,-1.57985,-1.56728,-1.59697,1.57086,-0.459653,-0.454557,-0.551546,0.669918,-0.00824203,0.99984,0.0142544,0.00694563
0.4,-1.99646,-1.57987,-1.56305,-1.59978,1.56201,-0.454121,-0.445854,-0.559163,0.672491,-0.0142919,0.999773,0.0155823,0.00247668
0.5,-1.97561,-1.57989,-1.55802,-1.60311,1.55145,-0.447528,-0.435311,-0.56805,0.67557,-0.0214923,0.99962,0.0170321,-0.00288698
0.6,-1.95466,-1.57992,-1.55295,-1.60647,1.54086,-0.440907,-0.424539,-0.576765,0.678675,-0.0287122,0.999385,0.0183424,-0.00831215
0.7,-1.93372,-1.57994,-1.54789,-1.60982,1.53026,-0.434286,-0.413586,-0.585264,0.681793,-0.0359199,0.999069,0.0195057,-0.0137728
0.8,-1.91278,-1.57996,-1.54283,-1.61318,1.51967,-0.427666,-0.402458,-0.593544,0.684924,-0.0431144,0.998674,0.0205214,-0.0192658
0.9,-1.89183,-1.57999,-1.53777,-1.61653,1.50907,-0.421045,-0.391158,-0.6016,0.688069,-0.0502947,0.998198,0.0213888,-0.0247878
1,-1.87089,-1.58001,-1.53271,-1.61988,1.49847,-0.414424,-0.379692,-0.60943,0.691226,-0.0574599,0.997642,0.0221074,-0.0303357
1.1,-1.84994,-1.58004,-1.52765,-1.62324,1.48788,-0.407803,-0.368064,-0.61703,0.694397,-0.064609,0.997007,0.0226767,-0.0359061
1.2,-1.829,-1.58006,-1.52259,-1.62659,1.47728,-0.401182,-0.356279,-0.624396,0.697581,-0.0717409,0.996292,0.0230961,-0.041496
1.3,-1.80806,-1.58009,-1.51753,-1.62995,1.46669,-0.394561,-0.344342,-0.631525,0.700777,-0.0788548,0.995499,0.0233654,-0.047102
1.4,-1.78711,-1.58011,-1.51247,-1.6333,1.45609,-0.38794,-0.332257,-0.638413,0.703986,-0.0859496,0.994626,0.0234842,-0.0527208
1.5,-1.76617,-1.58014,-1.50741,-1.63665,1.44549,-0.38132,-0.32003,-0.645058,0.707207,-0.0930245,0.993676,0.0234522,-0.0583492
1.6,-1.74522,-1.58016,-1.50235,-1.64001,1.4349,-0.374699,-0.307665,-0.651456,0.710442,-0.100078,0.992647,0.0232694,-0.063984
1.7,-1.72428,-1.58018,-1.49728,-1.64336,1.4243,-0.368078,-0.295168,-0.657605,0.713688,-0.10711,0.991541,0.0229355,-0.0696218
1.8,-1.70334,-1.58021,-1.49222,-1.64671,1.41371,-0.361457,-0.282545,-0.663501,0.716947,-0.11412,0.990358,0.0224505,-0.0752595
1.9,-1.68239,-1.58023,-1.48716,-1.65007,1.40311,-0.354836,-0.269799,-0.669141,0.720218,-0.121105,0.989098,0.0218145,-0.0808937
2,-1.66145,-1.58026,-1.4821,-1.65342,1.39251,-0.348215,-0.256937,-0.674524,0.723502,-0.128066,0.987761,0.0210275,-0.0865211
2.1,-1.6405,-1.58028,-1.47704,-1.65678,1.38192,-0.341594,-0.243964,-0.679646,0.726797,-0.135001,0.986348,0.0200897,-0.0921386
2.2,-1.61956,-1.58031,-1.47198,-1.66013,1.37132,-0.334974,-0.230885,-0.684505,0.730105,-0.14191,0.984859,0.0190013,-0.0977428
2.3,-1.59862,-1.58033,-1.46692,-1.66348,1.36072,-0.328353,-0.217706,-0.6891,0.733424,-0.148791,0.983295,0.0177625,-0.103331
2.4,-1.57767,-1.58036,-1.46186,-1.66684,1.35013,-0.321732,-0.204433,-0.693427,0.736755,-0.155644,0.981656,0.0163738,-0.108899
2.5,-1.55673,-1.58038,-1.4568,-1.67019,1.33953,-0.315111,-0.191071,-0.697484,0.740098,-0.162467,0.979942,0.0148355,-0.114444
2.6,-1.53578,-1.5804,-1.45174,-1.67354,1.32894,-0.30849,-0.177626,-0.70127,0.743452,-0.169261,0.978155,0.0131481,-0.119962
2.7,-1.51484,-1.58043,-1.44668,-1.6769,1.31834,-0.301869,-0.164103,-0.704783,0.746817,-0.176023,0.976294,0.0113121,-0.125452
2.8,-1.4939,-1.58045,-1.44162,-1.68025,1.30774,-0.295248,-0.150508,-0.708021,0.750194,-0.182753,0.97436,0.00932823,-0.130909
2.9,-1.47295,-1.58048,-1.43655,-1.68361,1.29715,-0.288628,-0.136847,-0.710983,0.753583,-0.189451,0.972353,0.00719706,-0.13633
3,-1.45201,-1.5805,-1.43149,-1.68696,1.28655,-0.282007,-0.123126,-0.713666,0.756982,-0.196115,0.970274,0.00491936,-0.141712
