time_from_start,shoulder_pan_joint,shoulder_lift_joint,elbow_joint,wrist_1_joint,wrist_2_joint,wrist_3_joint,pose_x,pose_y,pose_z,pose_qx,pose_qy,pose_qz,pose_qw
0,-1.72942,-1.50332,-2.1011,-1.13636,1.59162,-0.159854,-0.262226,-0.552113,0.41694,-0.000467745,0.999845,0.0123652,0.0125308
0.1,-1.73024,-1.50412,-2.0986,-1.13612,1.59215,-0.159176,-0.262804,-0.553046,0.418072,0.000276822,0.999856,0.0113626,0.0126361
0.2,-1.73272,-1.50651,-2.0911,-1.13539,1.59372,-0.157143,-0.264548,-0.555829,0.421473,0.00250754,0.999878,0.0083544,0.012951
0.3,-1.73684,-1.5105,-2.0786,-1.13418,1.59634,-0.153755,-0.267482,-0.560418,0.427159,0.00621533,0.999884,0.00334043,0.0134726
0.4,-1.74262,-1.51607,-2.0611,-1.13249,1.6,-0.149011,-0.271647,-0.566738,0.435152,0.0113845,0.999828,-0.00367962,0.0141963
0.5,-1.75004,-1.52325,-2.0386,-1.13031,1.60471,-0.142912,-0.277097,-0.574682,0.445486,0.0179919,0.999643,-0.0127056,0.0151151
0.6,-1.75912,-1.53202,-2.0111,-1.12764,1.61047,-0.135457,-0.283898,-0.58411,0.458198,0.026006,0.999248,-0.0237365,0.0162198
0.7,-1.76942,-1.54197,-1.97988,-1.12461,1.61701,-0.126996,-0.291796,-0.594432,0.472731,0.0350166,0.998576,-0.0362546,0.0174482
0.8,-1.77979,-1.55198,-1.94847,-1.12157,1.62359,-0.11848,-0.299923,-0.604406,0.487463,0.0439875,0.997663,-0.0488473,0.0186563
0.9,-1.79016,-1.562,-1.91705,-1.11853,1.63018,-0.109964,-0.308219,-0.613957,0.502293,0.0528556,0.996513,-0.0614318,0.0198348
1,-1.80052,-1.57202,-1.88563,-1.11548,1.63676,-0.101447,-0.316669,-0.62308,0.517214,0.0616159,0.995131,-0.0740055,0.0209827
1.1,-1.81089,-1.58203,-1.85422,-1.11244,1.64334,-0.0929314,-0.325263,-0.63177,0.532218,0.0702635,0.99352,-0.086566,0.0220989
1.2,-1.82126,-1.59205,-1.8228,-1.10939,1.64992,-0.0844154,-0.333988,-0.640021,0.547298,0.0787937,0.991681,-0.0991107,0.0231823
1.3,-1.83162,-1.60206,-1.79139,-1.10635,1.6565,-0.0758993,-0.342832,-0.647828,0.562447,0.0872017,0.989619,-0.111637,0.024232
1.4,-1.84199,-1.61208,-1.75997,-1.1033,1.66308,-0.0673833,-0.351781,-0.655188,0.577656,0.095483,0.987337,-0.124143,0.0252468
1.5,-1.85236,-1.6221,-1.72856,-1.10026,1.66966,-0.0588672,-0.360823,-0.662097,0.592918,0.103633,0.984838,-0.136626,0.0262256
1.6,-1.86273,-1.63211,-1.69714,-1.09721,1.67624,-0.0503512,-0.369945,-0.668551,0.608226,0.111647,0.982126,-0.149083,0.0271676
1.7,-1.87309,-1.64213,-1.66572,-1.09417,1.68282,-0.0418351,-0.379135,-0.674547,0.623571,0.119522,0.979204,-0.161512,0.0280716
1.8,-1.88346,-1.65215,-1.63431,-1.09112,1.6894,-0.0333191,-0.388379,-0.680084,0.638945,0.127252,0.976076,-0.17391,0.0289367
1.9,-1.89383,-1.66216,-1.60289,-1.08808,1.69598,-0.024803,-0.397665,-0.685158,0.654341,0.134834,0.972746,-0.186276,0.029762
