time_from_start,shoulder_pan_joint_pos,shoulder_lift_joint_pos,elbow_joint_pos,wrist_1_joint_pos,wrist_2_joint_pos,wrist_3_joint_pos,shoulder_pan_joint_vel,shoulder_lift_joint_vel,elbow_joint_vel,wrist_1_joint_vel,wrist_2_joint_vel,wrist_3_joint_vel,shoulder_pan_joint_acc,shoulder_lift_joint_acc,elbow_joint_acc,wrist_1_joint_acc,wrist_2_joint_acc,wrist_3_joint_acc,fk_x,fk_y,fk_z,fk_qx,fk_qy,fk_qz,fk_qw
0.000000,-1.600700,-1.727100,-2.203000,-0.808000,1.595100,-0.031000,-0.000500,-0.000118,0.000266,-0.000153,-0.000016,-0.000500,-0.500000,-0.117755,0.266143,-0.153340,-0.016283,-0.499758,-0.189632,-0.609684,0.260971,-0.000392,0.999843,0.012478,0.012536
0.100000,-1.603200,-1.727689,-2.201669,-0.808767,1.595019,-0.033499,-0.050000,-0.011776,0.026614,-0.015334,-0.001628,-0.049976,-0.500000,-0.117755,0.266143,-0.153340,-0.016283,-0.499758,-0.191186,-0.609861,0.261211,-0.000392,0.999844,0.012461,0.012527
0.200000,-1.610700,-1.729455,-2.197677,-0.811067,1.594774,-0.040995,-0.100000,-0.023551,0.053229,-0.030668,-0.003257,-0.099952,-0.500000,-0.117755,0.266143,-0.153340,-0.016283,-0.499758,-0.195861,-0.610368,0.261930,-0.000391,0.999845,0.012408,0.012500
0.300000,-1.623200,-1.732399,-2.191024,-0.814900,1.594367,-0.053489,-0.150000,-0.035327,0.079843,-0.046002,-0.004885,-0.149927,-0.500000,-0.117755,0.266143,-0.153340,-0.016283,-0.499758,-0.203693,-0.611128,0.263128,-0.000390,0.999846,0.012324,0.012454
0.400000,-1.640700,-1.736520,-2.181709,-0.820267,1.593797,-0.070981,-0.200000,-0.047102,0.106457,-0.061336,-0.006513,-0.199903,-0.500000,-0.117755,0.266143,-0.153340,-0.016283,-0.499758,-0.214741,-0.612011,0.264807,-0.000388,0.999849,0.012211,0.012389
0.500000,-1.661555,-1.741432,-2.170608,-0.826663,1.593118,-0.091825,-0.209440,-0.049325,0.111482,-0.064231,-0.006821,-0.209338,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.228026,-0.612784,0.266808,-0.000387,0.999851,0.012083,0.012313
0.600000,-1.682499,-1.746364,-2.159460,-0.833086,1.592436,-0.112759,-0.209440,-0.049325,0.111482,-0.064231,-0.006821,-0.209338,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,-0.241492,-0.613250,0.268819,-0.000385,0.999853,0.011964,0.012236
0.700000,-1.703443,-1.751297,-2.148311,-0.839509,1.591754,-0.133693,-0.209440,-0.049325,0.111482,-0.064231,-0.006821,-0.209338,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,-0.255075,-0.613400,0.270830,-0.000383,0.999856,0.011854,0.012159
0.800000,-1.724387,-1.756230,-2.137163,-0.845932,1.591072,-0.154627,-0.209440,-0.049325,0.111482,-0.064231,-0.006821,-0.209338,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,-0.268767,-0.613229,0.272842,-0.000382,0.999858,0.011751,0.012084
0.900000,-1.745331,-1.761162,-2.126015,-0.852355,1.590390,-0.175561,-0.209440,-0.049325,0.111482,-0.064231,-0.006821,-0.209338,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,-0.282560,-0.612733,0.274854,-0.000380,0.999860,0.011657,0.012009
