time_from_start,shoulder_pan_joint_pos,shoulder_lift_joint_pos,elbow_joint_pos,wrist_1_joint_pos,wrist_2_joint_pos,wrist_3_joint_pos,shoulder_pan_joint_vel,shoulder_lift_joint_vel,elbow_joint_vel,wrist_1_joint_vel,wrist_2_joint_vel,wrist_3_joint_vel,shoulder_pan_joint_acc,shoulder_lift_joint_acc,elbow_joint_acc,wrist_1_joint_acc,wrist_2_joint_acc,wrist_3_joint_acc,pose_x,pose_y,pose_z,pose_qx,pose_qy,pose_qz,pose_qw
0.000000,-4.796355,-1.449798,-1.447820,-1.787623,1.547876,-3.226536,0.000500,-0.000020,-0.000070,0.000077,0.000005,0.000500,0.499964,-0.020149,-0.069842,0.077146,0.004628,0.500000,0.226824,0.586681,0.813762,-0.000333,0.999842,0.012558,0.012563
0.100000,-4.793855,-1.449899,-1.448169,-1.787237,1.547899,-3.224036,0.049996,-0.002015,-0.006984,0.007715,0.000463,0.050000,0.499964,-0.020149,-0.069842,0.077146,0.004628,0.500000,0.225363,0.587363,0.813512,-0.000333,0.999843,0.012558,0.012517
0.200000,-4.786356,-1.450201,-1.449217,-1.786080,1.547969,-3.216536,0.099993,-0.004030,-0.013968,0.015429,0.000926,0.100000,0.499964,-0.020149,-0.069842,0.077146,0.004628,0.500000,0.220970,0.589383,0.812761,-0.000335,0.999844,0.012558,0.012381
0.300000,-4.773857,-1.450705,-1.450963,-1.784151,1.548084,-3.204036,0.149989,-0.006045,-0.020953,0.023144,0.001388,0.150000,0.499964,-0.020149,-0.069842,0.077146,0.004628,0.500000,0.213608,0.592676,0.811510,-0.000337,0.999847,0.012555,0.012155
0.400000,-4.756358,-1.451410,-1.453407,-1.781451,1.548246,-3.186536,0.199985,-0.008060,-0.027937,0.030858,0.001851,0.200000,0.499964,-0.020149,-0.069842,0.077146,0.004628,0.500000,0.203221,0.597126,0.809756,-0.000340,0.999851,0.012545,0.011843
0.500000,-4.735503,-1.452250,-1.456321,-1.778233,1.548439,-3.165680,0.209440,-0.008441,-0.029257,0.032317,0.001939,0.209455,-0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.190724,0.602184,0.807665,-0.000343,0.999856,0.012524,0.011476
0.600000,-4.714559,-1.453095,-1.459246,-1.775002,1.548633,-3.144734,0.209440,-0.008441,-0.029257,0.032317,0.001939,0.209455,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.178051,0.606992,0.805562,-0.000347,0.999860,0.012493,0.011114
0.700000,-4.693615,-1.453939,-1.462172,-1.771770,1.548827,-3.123789,0.209440,-0.008441,-0.029257,0.032317,0.001939,0.209455,-0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.165260,0.611526,0.803456,-0.000350,0.999865,0.012452,0.010758
0.800000,-4.672672,-1.454783,-1.465098,-1.768538,1.549021,-3.102844,0.209440,-0.008441,-0.029257,0.032317,0.001939,0.209455,-0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.152357,0.615781,0.801349,-0.000354,0.999869,0.012402,0.010408
0.900000,-4.651728,-1.455627,-1.468024,-1.765307,1.549215,-3.081898,0.209440,-0.008441,-0.029257,0.032317,0.001939,0.209455,-0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.139349,0.619756,0.799239,-0.000357,0.999873,0.012343,0.010066
1.000000,-4.630784,-1.456471,-1.470949,-1.762075,1.549409,-3.060953,0.209440,-0.008441,-0.029257,0.032317,0.001939,0.209455,-0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.126242,0.623448,0.797128,-0.000360,0.999877,0.012275,0.009730
1.100000,-4.609840,-1.457315,-1.473875,-1.758843,1.549603,-3.040007,0.209440,-0.008441,-0.029257,0.032317,0.001939,0.209455,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.113043,0.626855,0.795014,-0.000363,0.999881,0.012199,0.009402
1.200000,-4.588896,-1.458159,-1.476801,-1.755611,1.549796,-3.019062,0.209440,-0.008441,-0.029257,0.032317,0.001939,0.209455,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.099757,0.629974,0.792898,-0.000367,0.999885,0.012114,0.009081
1.300000,-4.567952,-1.459003,-1.479726,-1.752380,1.549990,-2.998116,0.209440,-0.008441,-0.029257,0.032317,0.001939,0.209455,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.086392,0.632803,0.790780,-0.000370,0.999889,0.012021,0.008768
1.400000,-4.547008,-1.459847,-1.482652,-1.749148,1.550184,-2.977171,0.209440,-0.008441,-0.029257,0.032317,0.001939,0.209455,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.072953,0.635340,0.788660,-0.000373,0.999893,0.011921,0.008463
1.500000,-4.526064,-1.460691,-1.485578,-1.745916,1.550378,-2.956225,0.209440,-0.008441,-0.029257,0.032317,0.001939,0.209455,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.059447,0.637584,0.786538,-0.000376,0.999897,0.011813,0.008166
1.600000,-4.505120,-1.461535,-1.488504,-1.742685,1.550572,-2.935280,0.209440,-0.008441,-0.029257,0.032317,0.001939,0.209455,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.045881,0.639533,0.784414,-0.000379,0.999900,0.011699,0.007877
1.700000,-4.484176,-1.462379,-1.491429,-1.739453,1.550766,-2.914334,0.209440,-0.008441,-0.029257,0.032317,0.001939,0.209455,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.032261,0.641185,0.782288,-0.000382,0.999904,0.011577,0.007597
