timestamp,shoulder_lift_joint_pos,elbow_joint_pos,wrist_1_joint_pos,wrist_2_joint_pos,wrist_3_joint_pos,shoulder_pan_joint_pos,shoulder_lift_joint_vel,elbow_joint_vel,wrist_1_joint_vel,wrist_2_joint_vel,wrist_3_joint_vel,shoulder_pan_joint_vel,shoulder_lift_joint_eff,elbow_joint_eff,wrist_1_joint_eff,wrist_2_joint_eff,wrist_3_joint_eff,shoulder_pan_joint_eff,pose_x,pose_y,pose_z,pose_qx,pose_qy,pose_qz,pose_qw
1751354845.383285,-1.78888449,-1.837171562,-1.078907167,1.605442939,0.99235265,-0.577682198,0.0,0.0,0.0,0.0,0.0,0.0,4.621649603,3.837421909,0.303379497,0.002859607,0.0,0.0,0.5429889973355045,-0.5570169993244386,0.3971100065420565,-0.0004449957396691954,0.9998429666269103,0.012479416777228726,0.012574109208646767
1751354845.3890862,-1.78888449,-1.837171562,-1.078907167,1.605442939,0.99235265,-0.577682198,0.0,0.0,0.0,0.0,0.0,0.0,4.621649603,3.837421909,0.303379497,0.002859607,0.0,0.0,0.5429889973355045,-0.5570169993244386,0.3971100065420565,-0.0004449957396691954,0.9998429666269103,0.012479416777228726,0.012574109208646767
1751354845.3892958,-1.78888449,-1.837171562,-1.078907167,1.605442939,0.99235265,-0.577682198,0.0,0.0,0.0,0.0,0.0,0.0,4.621649603,3.837421909,0.303379497,0.002859607,0.0,0.0,0.5429889973355045,-0.5570169993244386,0.3971100065420565,-0.0004449957396691954,0.9998429666269103,0.012479416777228726,0.012574109208646767
1751354845.3910162,-1.78888449,-1.837171562,-1.078907167,1.605442939,0.99235265,-0.577682198,0.0,0.0,0.0,0.0,0.0,0.0,4.621649603,3.837421909,0.303379497,0.002859607,0.0,0.0,0.5429889973355045,-0.5570169993244386,0.3971100065420565,-0.0004449957396691954,0.9998429666269103,0.012479416777228726,0.012574109208646767
1751354845.3928936,-1.78888449,-1.837171562,-1.078907167,1.605442939,0.99235265,-0.577682198,0.0,0.0,0.0,0.0,0.0,0.0,4.621649603,3.837421909,0.303379497,0.002859607,0.0,0.0,0.5429889973355045,-0.5570169993244386,0.3971100065420565,-0.0004449957396691954,0.9998429666269103,0.012479416777228726,0.012574109208646767
1751354845.3951454,-1.78888449,-1.837171562,-1.078907167,1.605442939,0.99235265,-0.577682198,0.0,0.0,0.0,0.0,0.0,0.0,4.621649603,3.837421909,0.303379497,0.002859607,0.0,0.0,0.5429889973355045,-0.5570169993244386,0.3971100065420565,-0.0004449957396691954,0.9998429666269103,0.012479416777228726,0.012574109208646767
1751354845.3972104,-1.78888449,-1.837171562,-1.078907167,1.605442939,0.99235265,-0.577682198,0.0,0.0,0.0,0.0,0.0,0.0,4.621649603,3.837421909,0.303379497,0.002859607,0.0,0.0,0.5429889973355045,-0.5570169993244386,0.3971100065420565,-0.0004449957396691954,0.9998429666269103,0.012479416777228726,0.012574109208646767
1751354845.3988836,-1.78888449,-1.837171562,-1.078907167,1.605442939,0.99235265,-0.577682198,0.0,0.0,0.0,0.0,0.0,0.0,4.621649603,3.837421909,0.303379497,0.002859607,0.0,0.0,0.5429889973355045,-0.5570169993244386,0.3971100065420565,-0.0004449957396691954,0.9998429666269103,0.012479416777228726,0.012574109208646767
1751354845.401016,-1.78888449,-1.837171562,-1.078907167,1.605442939,0.99235265,-0.577682198,0.0,0.0,0.0,0.0,0.0,0.0,4.621649603,3.837421909,0.303379497,0.002859607,0.0,0.0,0.5429889973355045,-0.5570169993244386,0.3971100065420565,-0.0004449957396691954,0.9998429666269103,0.012479416777228726,0.012574109208646767
1751354845.4033675,-1.78888449,-1.837171562,-1.078907167,1.605442939,0.99235265,-0.577682198,0.0,0.0,0.0,0.0,0.0,0.0,4.621649603,3.837421909,0.303379497,0.002859607,0.0,0.0,0.5429889973355045,-0.5570169993244386,0.3971100065420565,-0.0004449957396691954,0.9998429666269103,0.012479416777228726,0.012574109208646767
1751354845.4055192,-1.78888449,-1.837171562,-1.078907167,1.605442939,0.99235265,-0.577682198,0.0,0.0,0.0,0.0,0.0,0.0,4.621649603,3.837421909,0.303379497,0.002859607,0.0,0.0,0.5429889973355045,-0.5570169993244386,0.3971100065420565,-0.0004449957396691954,0.9998429666269103,0.012479416777228726,0.012574109208646767
1751354845.4072287,-1.78888449,-1.837171562,-1.078907167,1.605442939,0.99235265,-0.577682198,0.0,0.0,0.0,0.0,0.0,0.0,4.621649603,3.837421909,0.303379497,0.002859607,0.0,0.0,0.5429889973355045,-0.5570169993244386,0.3971100065420565,-0.0004449957396691954,0.9998429666269103,0.012479416777228726,0.012574109208646767
1751354845.4099813,-1.78888449,-1.837171562,-1.078907167,1.605442939,0.99235265,-0.577682198,0.0,0.0,0.0,0.0,0.0,0.0,4.621649603,3.837421909,0.303379497,0.002859607,0.0,0.0,0.5429889973355045,-0.5570169993244386,0.3971100065420565,-0.0004449957396691954,0.9998429666269103,0.012479416777228726,0.012574109208646767
1751354845.4138472,-1.78888449,-1.837171562,-1.078907167,1.605442939,0.99235265,-0.577682198,0.0,0.0,0.0,0.0,0.0,0.0,4.621649603,3.837421909,0.303379497,0.002859607,0.0,0.0,0.5429889973355045,-0.5570169993244386,0.3971100065420565,-0.0004449957396691954,0.9998429666269103,0.012479416777228726,0.012574109208646767
