time_from_start,shoulder_pan_joint_pos,shoulder_lift_joint_pos,elbow_joint_pos,wrist_1_joint_pos,wrist_2_joint_pos,wrist_3_joint_pos,shoulder_pan_joint_vel,shoulder_lift_joint_vel,elbow_joint_vel,wrist_1_joint_vel,wrist_2_joint_vel,wrist_3_joint_vel,shoulder_pan_joint_acc,shoulder_lift_joint_acc,elbow_joint_acc,wrist_1_joint_acc,wrist_2_joint_acc,wrist_3_joint_acc,fk_x,fk_y,fk_z,fk_qx,fk_qy,fk_qz,fk_qw
0.000000,-1.600672,-1.726960,-2.202995,-0.808030,1.595100,-0.030976,-0.000486,-0.000083,0.000500,-0.000421,-0.000016,-0.000486,-0.486027,-0.083041,0.500000,-0.420851,-0.015617,-0.485879,-0.189614,-0.609677,0.261056,-0.000395,0.999844,0.012421,0.012534
0.100000,-1.603102,-1.727375,-2.200495,-0.810134,1.595022,-0.033405,-0.048603,-0.008304,0.050000,-0.042085,-0.001562,-0.048588,-0.486027,-0.083041,0.500000,-0.420851,-0.015617,-0.485879,-0.191140,-0.610307,0.261855,-0.000395,0.999845,0.012402,0.012526
0.200000,-1.610393,-1.728621,-2.192995,-0.816447,1.594788,-0.040694,-0.097205,-0.016608,0.100000,-0.084170,-0.003123,-0.097176,-0.486027,-0.083041,0.500000,-0.420851,-0.015617,-0.485879,-0.195740,-0.612162,0.264262,-0.000395,0.999846,0.012344,0.012500
0.300000,-1.622543,-1.730697,-2.180495,-0.826968,1.594397,-0.052841,-0.145808,-0.024912,0.150000,-0.126255,-0.004685,-0.145764,-0.486027,-0.083041,0.500000,-0.420851,-0.015617,-0.485879,-0.203489,-0.615141,0.268305,-0.000395,0.999847,0.012250,0.012457
0.400000,-1.639554,-1.733603,-2.162995,-0.841698,1.593851,-0.069846,-0.194411,-0.033216,0.200000,-0.168341,-0.006247,-0.194351,-0.486027,-0.083041,0.500000,-0.420851,-0.015617,-0.485879,-0.214502,-0.619070,0.274034,-0.000395,0.999850,0.012123,0.012395
0.500000,-1.660266,-1.737142,-2.141688,-0.859632,1.593185,-0.090552,-0.209440,-0.035784,0.215461,-0.181354,-0.006730,-0.209376,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.228160,-0.623465,0.281115,-0.000395,0.999852,0.011977,0.012320
0.600000,-1.681210,-1.740720,-2.120142,-0.877768,1.592512,-0.111489,-0.209440,-0.035784,0.215461,-0.181354,-0.006730,-0.209376,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,-0.242234,-0.627463,0.288391,-0.000395,0.999855,0.011837,0.012243
0.700000,-1.702154,-1.744299,-2.098596,-0.895903,1.591839,-0.132427,-0.209440,-0.035784,0.215461,-0.181354,-0.006730,-0.209376,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,-0.256556,-0.631002,0.295781,-0.000396,0.999857,0.011705,0.012165
0.800000,-1.723098,-1.747877,-2.077050,-0.914038,1.591166,-0.153364,-0.209440,-0.035784,0.215461,-0.181354,-0.006730,-0.209376,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,-0.271111,-0.634072,0.303283,-0.000396,0.999860,0.011582,0.012088
0.900000,-1.744042,-1.751456,-2.055504,-0.932174,1.590493,-0.174302,-0.209440,-0.035784,0.215461,-0.181354,-0.006730,-0.209376,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,-0.285882,-0.636663,0.310893,-0.000397,0.999862,0.011467,0.012011
