pose_x,pose_y,pose_z,pose_qx,pose_qy,pose_qz,pose_qw
-0.656441,-0.164302,0.624195,-0.000415353,0.999899,0.0084478,0.0114621
-0.663207,0.00799616,0.681463,-0.000437941,0.999935,0.00603493,0.00970459
-0.614912,0.186067,0.742869,-0.000451099,0.999959,0.00495577,0.0075245
-0.514864,0.336832,0.80289,-0.000452493,0.999969,0.00536472,0.00573286
-0.375489,0.444565,0.860795,-0.00044212,0.999964,0.00690974,0.00492536
-0.201272,0.500606,0.91997,-0.000417792,0.999942,0.00921177,0.00563252
-0.0263894,0.490391,0.975012,-0.000379818,0.999902,0.0113514,0.00818299
0.123372,0.420155,1.02474,-0.000328656,0.999846,0.012445,0.0124012
