time_from_start,shoulder_pan_joint_pos,shoulder_lift_joint_pos,elbow_joint_pos,wrist_1_joint_pos,wrist_2_joint_pos,wrist_3_joint_pos,shoulder_pan_joint_vel,shoulder_lift_joint_vel,elbow_joint_vel,wrist_1_joint_vel,wrist_2_joint_vel,wrist_3_joint_vel,shoulder_pan_joint_acc,shoulder_lift_joint_acc,elbow_joint_acc,wrist_1_joint_acc,wrist_2_joint_acc,wrist_3_joint_acc,fk_x,fk_y,fk_z,fk_qx,fk_qy,fk_qz,fk_qw
0.000000,-1.600700,-1.727100,-2.203000,-0.808000,1.595100,-0.031000,-0.000500,-0.000118,0.000266,-0.000153,-0.000016,-0.000500,-0.500000,-0.117836,0.266168,-0.153399,-0.016338,-0.499802,-0.189632,-0.609684,0.260971,-0.000392,0.999843,0.012478,0.012536
0.100000,-1.603200,-1.727689,-2.201669,-0.808767,1.595018,-0.033499,-0.050000,-0.011784,0.026617,-0.015340,-0.001634,-0.049980,-0.500000,-0.117836,0.266168,-0.153399,-0.016338,-0.499802,-0.191186,-0.609861,0.261211,-0.000392,0.999844,0.012461,0.012527
0.200000,-1.610700,-1.729457,-2.197677,-0.811068,1.594773,-0.040996,-0.100000,-0.023567,0.053234,-0.030680,-0.003268,-0.099960,-0.500000,-0.117836,0.266168,-0.153399,-0.016338,-0.499802,-0.195861,-0.610368,0.261929,-0.000391,0.999845,0.012410,0.012499
0.300000,-1.623200,-1.732403,-2.191022,-0.814903,1.594365,-0.053491,-0.150000,-0.035351,0.079850,-0.046020,-0.004901,-0.149941,-0.500000,-0.117836,0.266168,-0.153399,-0.016338,-0.499802,-0.203694,-0.611128,0.263126,-0.000391,0.999846,0.012326,0.012453
0.400000,-1.640700,-1.736527,-2.181707,-0.820272,1.593793,-0.070984,-0.200000,-0.047134,0.106467,-0.061359,-0.006535,-0.199921,-0.500000,-0.117836,0.266168,-0.153399,-0.016338,-0.499802,-0.214741,-0.612012,0.264804,-0.000390,0.999849,0.012215,0.012388
0.500000,-1.661555,-1.741442,-2.170605,-0.826670,1.593111,-0.091831,-0.209440,-0.049359,0.111492,-0.064255,-0.006844,-0.209356,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,-0.228027,-0.612785,0.266803,-0.000389,0.999851,0.012091,0.012310
0.600000,-1.682499,-1.746378,-2.159456,-0.833096,1.592427,-0.112766,-0.209440,-0.049359,0.111492,-0.064255,-0.006844,-0.209356,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,-0.241494,-0.613252,0.268811,-0.000388,0.999853,0.011974,0.012232
0.700000,-1.703443,-1.751314,-2.148306,-0.839521,1.591743,-0.133702,-0.209440,-0.049359,0.111492,-0.064255,-0.006844,-0.209356,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,-0.255077,-0.613402,0.270821,-0.000388,0.999856,0.011866,0.012155
0.800000,-1.724387,-1.756249,-2.137157,-0.845947,1.591058,-0.154638,-0.209440,-0.049359,0.111492,-0.064255,-0.006844,-0.209356,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,-0.268769,-0.613232,0.272830,-0.000387,0.999858,0.011766,0.012079
0.900000,-1.745331,-1.761185,-2.126008,-0.852372,1.590374,-0.175573,-0.209440,-0.049359,0.111492,-0.064255,-0.006844,-0.209356,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,-0.282563,-0.612736,0.274841,-0.000386,0.999860,0.011675,0.012005
1.000000,-1.766275,-1.766121,-2.114859,-0.858798,1.589690,-0.196509,-0.209440,-0.049359,0.111492,-0.064255,-0.006844,-0.209356,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,-0.296449,-0.611911,0.276851,-0.000386,0.999862,0.011592,0.011931
1.100000,-1.787219,-1.771057,-2.103710,-0.865223,1.589005,-0.217445,-0.209440,-0.049359,0.111492,-0.064255,-0.006844,-0.209356,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,-0.310420,-0.610751,0.278862,-0.000385,0.999863,0.011517,0.011860
