time_from_start,shoulder_pan_joint_pos,shoulder_lift_joint_pos,elbow_joint_pos,wrist_1_joint_pos,wrist_2_joint_pos,wrist_3_joint_pos,shoulder_pan_joint_vel,shoulder_lift_joint_vel,elbow_joint_vel,wrist_1_joint_vel,wrist_2_joint_vel,wrist_3_joint_vel,shoulder_pan_joint_acc,shoulder_lift_joint_acc,elbow_joint_acc,wrist_1_joint_acc,wrist_2_joint_acc,wrist_3_joint_acc,pose_x,pose_y,pose_z,pose_qx,pose_qy,pose_qz,pose_qw
0.000000,-1.600700,-1.727100,-2.203000,-0.808000,1.595100,-0.031000,-0.000500,-0.000061,0.000490,-0.000432,-0.000016,-0.000500,-0.500000,-0.061236,0.490026,-0.431837,-0.016451,-0.499769,-0.189632,-0.609684,0.260971,-0.000392,0.999843,0.012478,0.012536
0.100000,-1.603200,-1.727406,-2.200550,-0.810159,1.595018,-0.033499,-0.050000,-0.006124,0.049003,-0.043184,-0.001645,-0.049977,-0.500000,-0.061236,0.490026,-0.431837,-0.016451,-0.499769,-0.191199,-0.610259,0.261805,-0.000392,0.999844,0.012456,0.012527
0.200000,-1.610700,-1.728325,-2.193199,-0.816637,1.594771,-0.040995,-0.100000,-0.012247,0.098005,-0.086367,-0.003290,-0.099954,-0.500000,-0.061236,0.490026,-0.431837,-0.016451,-0.499769,-0.195924,-0.611948,0.264316,-0.000391,0.999845,0.012389,0.012497
0.300000,-1.623200,-1.729856,-2.180949,-0.827433,1.594360,-0.053490,-0.150000,-0.018371,0.147008,-0.129551,-0.004935,-0.149931,-0.500000,-0.061236,0.490026,-0.431837,-0.016451,-0.499769,-0.203879,-0.614644,0.268537,-0.000391,0.999847,0.012281,0.012448
0.400000,-1.640700,-1.731999,-2.163798,-0.842547,1.593784,-0.070981,-0.200000,-0.024494,0.196010,-0.172735,-0.006580,-0.199907,-0.500000,-0.061236,0.490026,-0.431837,-0.016451,-0.499769,-0.215173,-0.618163,0.274521,-0.000390,0.999850,0.012135,0.012377
0.500000,-1.661555,-1.734553,-2.143359,-0.860559,1.593098,-0.091827,-0.209440,-0.025650,0.205262,-0.180888,-0.006891,-0.209343,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,-0.228864,-0.621961,0.281763,-0.000389,0.999853,0.011969,0.012292
0.600000,-1.682499,-1.737118,-2.122833,-0.878648,1.592409,-0.112761,-0.209440,-0.025650,0.205262,-0.180888,-0.006891,-0.209343,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.242851,-0.625331,0.289156,-0.000388,0.999856,0.011811,0.012205
0.700000,-1.703443,-1.739683,-2.102307,-0.896736,1.591720,-0.133695,-0.209440,-0.025650,0.205262,-0.180888,-0.006891,-0.209343,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.257060,-0.628246,0.296666,-0.000387,0.999859,0.011662,0.012116
0.800000,-1.724387,-1.742248,-2.081781,-0.914825,1.591031,-0.154629,-0.209440,-0.025650,0.205262,-0.180888,-0.006891,-0.209343,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.271476,-0.630696,0.304292,-0.000386,0.999861,0.011522,0.012027
0.900000,-1.745331,-1.744813,-2.061254,-0.932914,1.590341,-0.175564,-0.209440,-0.025650,0.205262,-0.180888,-0.006891,-0.209343,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,-0.286082,-0.632673,0.312029,-0.000385,0.999864,0.011390,0.011938
1.000000,-1.766275,-1.747378,-2.040728,-0.951003,1.589652,-0.196498,-0.209440,-0.025650,0.205262,-0.180888,-0.006891,-0.209343,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,-0.300861,-0.634169,0.319877,-0.000384,0.999866,0.011268,0.011848
1.100000,-1.787219,-1.749943,-2.020202,-0.969091,1.588963,-0.217432,-0.209440,-0.025650,0.205262,-0.180888,-0.006891,-0.209343,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.315795,-0.635175,0.327831,-0.000383,0.999869,0.011154,0.011759
1.200000,-1.808162,-1.752508,-1.999676,-0.987180,1.588274,-0.238366,-0.209440,-0.025650,0.205262,-0.180888,-0.006891,-0.209343,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.330868,-0.635685,0.335890,-0.000382,0.999871,0.011048,0.011670
1.300000,-1.829106,-1.755073,-1.979150,-1.005269,1.587585,-0.259301,-0.209440,-0.025650,0.205262,-0.180888,-0.006891,-0.209343,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.346060,-0.635693,0.344051,-0.000381,0.999873,0.010951,0.011582
1.400000,-1.850050,-1.757638,-1.958624,-1.023358,1.586896,-0.280235,-0.209440,-0.025650,0.205262,-0.180888,-0.006891,-0.209343,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.361356,-0.635192,0.352311,-0.000381,0.999875,0.010863,0.011495
1.500000,-1.870994,-1.760203,-1.938098,-1.041446,1.586207,-0.301169,-0.209440,-0.025650,0.205262,-0.180888,-0.006891,-0.209343,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.376735,-0.634178,0.360668,-0.000380,0.999877,0.010783,0.011410
1.600000,-1.891938,-1.762768,-1.917571,-1.059535,1.585518,-0.322103,-0.209440,-0.025650,0.205262,-0.180888,-0.006891,-0.209343,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.392179,-0.632646,0.369117,-0.000380,0.999878,0.010711,0.011327
