time_from_start,shoulder_pan_joint_pos,shoulder_lift_joint_pos,elbow_joint_pos,wrist_1_joint_pos,wrist_2_joint_pos,wrist_3_joint_pos,shoulder_pan_joint_vel,shoulder_lift_joint_vel,elbow_joint_vel,wrist_1_joint_vel,wrist_2_joint_vel,wrist_3_joint_vel,shoulder_pan_joint_acc,shoulder_lift_joint_acc,elbow_joint_acc,wrist_1_joint_acc,wrist_2_joint_acc,wrist_3_joint_acc,fk_x,fk_y,fk_z,fk_qx,fk_qy,fk_qz,fk_qw
0.000000,-1.600700,-1.727100,-2.203000,-0.808000,1.595100,-0.031000,-0.000500,-0.000118,0.000266,-0.000153,-0.000016,-0.000500,-0.500000,-0.117725,0.266154,-0.153388,-0.016283,-0.499858,-0.189632,-0.609684,0.260971,-0.000392,0.999843,0.012478,0.012536
0.100000,-1.603200,-1.727689,-2.201669,-0.808767,1.595019,-0.033499,-0.050000,-0.011772,0.026615,-0.015339,-0.001628,-0.049986,-0.500000,-0.117725,0.266154,-0.153388,-0.016283,-0.499858,-0.191186,-0.609861,0.261211,-0.000392,0.999844,0.012461,0.012527
0.200000,-1.610700,-1.729454,-2.197677,-0.811068,1.594774,-0.040997,-0.100000,-0.023545,0.053231,-0.030678,-0.003257,-0.099972,-0.500000,-0.117725,0.266154,-0.153388,-0.016283,-0.499858,-0.195861,-0.610368,0.261930,-0.000392,0.999845,0.012408,0.012500
0.300000,-1.623200,-1.732398,-2.191023,-0.814902,1.594367,-0.053494,-0.150000,-0.035317,0.079846,-0.046016,-0.004885,-0.149957,-0.500000,-0.117725,0.266154,-0.153388,-0.016283,-0.499858,-0.203693,-0.611128,0.263129,-0.000392,0.999846,0.012324,0.012454
0.400000,-1.640700,-1.736518,-2.181708,-0.820271,1.593797,-0.070989,-0.200000,-0.047090,0.106462,-0.061355,-0.006513,-0.199943,-0.500000,-0.117725,0.266154,-0.153388,-0.016283,-0.499858,-0.214741,-0.612010,0.264809,-0.000392,0.999849,0.012211,0.012390
0.500000,-1.661555,-1.741428,-2.170606,-0.826669,1.593118,-0.091838,-0.209440,-0.049312,0.111487,-0.064251,-0.006821,-0.209380,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,-0.228026,-0.612783,0.266811,-0.000393,0.999851,0.012084,0.012313
0.600000,-1.682499,-1.746359,-2.159458,-0.833094,1.592436,-0.112776,-0.209440,-0.049312,0.111487,-0.064251,-0.006821,-0.209380,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.241492,-0.613249,0.268822,-0.000393,0.999853,0.011965,0.012236
0.700000,-1.703443,-1.751291,-2.148309,-0.839519,1.591754,-0.133714,-0.209440,-0.049312,0.111487,-0.064251,-0.006821,-0.209380,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.255075,-0.613399,0.270834,-0.000393,0.999856,0.011854,0.012160
0.800000,-1.724387,-1.756222,-2.137160,-0.845944,1.591072,-0.154652,-0.209440,-0.049312,0.111487,-0.064251,-0.006821,-0.209380,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.268767,-0.613228,0.272847,-0.000394,0.999858,0.011752,0.012084
0.900000,-1.745331,-1.761153,-2.126012,-0.852369,1.590390,-0.175590,-0.209440,-0.049312,0.111487,-0.064251,-0.006821,-0.209380,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.282560,-0.612732,0.274860,-0.000395,0.999860,0.011658,0.012010
1.000000,-1.766275,-1.766084,-2.114863,-0.858794,1.589708,-0.196528,-0.209440,-0.049312,0.111487,-0.064251,-0.006821,-0.209380,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,-0.296446,-0.611906,0.276873,-0.000395,0.999862,0.011572,0.011937
1.100000,-1.787219,-1.771016,-2.103715,-0.865219,1.589026,-0.217466,-0.209440,-0.049312,0.111487,-0.064251,-0.006821,-0.209380,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,-0.310416,-0.610746,0.278887,-0.000396,0.999863,0.011495,0.011866
1.200000,-1.808162,-1.775947,-2.092566,-0.871644,1.588344,-0.238404,-0.209440,-0.049312,0.111487,-0.064251,-0.006821,-0.209380,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,-0.324463,-0.609248,0.280901,-0.000397,0.999865,0.011425,0.011797
1.300000,-1.829106,-1.780878,-2.081417,-0.878069,1.587662,-0.259342,-0.209440,-0.049312,0.111487,-0.064251,-0.006821,-0.209380,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,-0.338578,-0.607409,0.282916,-0.000398,0.999867,0.011363,0.011731
1.400000,-1.850050,-1.785809,-2.070269,-0.884494,1.586980,-0.280280,-0.209440,-0.049312,0.111487,-0.064251,-0.006821,-0.209380,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,-0.352752,-0.605224,0.284930,-0.000399,0.999868,0.011309,0.011667
1.500000,-1.870994,-1.790741,-2.059120,-0.890920,1.586298,-0.301218,-0.209440,-0.049312,0.111487,-0.064251,-0.006821,-0.209380,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,-0.366977,-0.602691,0.286944,-0.000400,0.999869,0.011262,0.011606
1.600000,-1.891938,-1.795672,-2.047971,-0.897345,1.585616,-0.322156,-0.209440,-0.049312,0.111487,-0.064251,-0.006821,-0.209380,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,-0.381243,-0.599807,0.288959,-0.000401,0.999870,0.011223,0.011549
1.700000,-1.912882,-1.800603,-2.036823,-0.903770,1.584934,-0.343094,-0.209440,-0.049312,0.111487,-0.064251,-0.006821,-0.209380,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,-0.395542,-0.596568,0.290973,-0.000402,0.999871,0.011191,0.011495
1.800000,-1.933826,-1.805534,-2.025674,-0.910195,1.584252,-0.364032,-0.209440,-0.049312,0.111487,-0.064251,-0.006821,-0.209380,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,-0.409864,-0.592972,0.292986,-0.000403,0.999872,0.011166,0.011445
1.900000,-1.954770,-1.810466,-2.014525,-0.916620,1.583569,-0.384970,-0.209440,-0.049312,0.111487,-0.064251,-0.006821,-0.209380,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,-0.424200,-0.589017,0.295000,-0.000405,0.999873,0.011148,0.011399
2.000000,-1.975714,-1.815397,-2.003377,-0.923045,1.582887,-0.405908,-0.209440,-0.049312,0.111487,-0.064251,-0.006821,-0.209380,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.438542,-0.584700,0.297013,-0.000406,0.999873,0.011137,0.011358
2.100000,-1.996658,-1.820328,-1.992228,-0.929470,1.582205,-0.426846,-0.209440,-0.049312,0.111487,-0.064251,-0.006821,-0.209380,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.452880,-0.580020,0.299025,-0.000407,0.999874,0.011132,0.011321
2.200000,-2.017602,-1.825259,-1.981079,-0.935895,1.581523,-0.447784,-0.209440,-0.049312,0.111487,-0.064251,-0.006821,-0.209380,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.467203,-0.574975,0.301037,-0.000409,0.999874,0.011134,0.011289
