time_from_start,shoulder_pan_joint,shoulder_lift_joint,elbow_joint,wrist_1_joint,wrist_2_joint,wrist_3_joint,pose_x,pose_y,pose_z,pose_qx,pose_qy,pose_qz,pose_qw
3.6,-1.11297,-1.26154,-1.6165,-1.91966,2.63818,1.02846,0.147505,-0.462387,0.846997,0.262916,0.819272,0.37092,0.349411
3.7,-1.12704,-1.25389,-1.60498,-1.94158,2.6696,1.03179,0.139396,-0.457072,0.859011,0.268907,0.808789,0.378675,0.360769
3.8,-1.1411,-1.24624,-1.59346,-1.96351,2.70101,1.03511,0.131303,-0.451511,0.870983,0.274703,0.798054,0.386207,0.372144
3.9,-1.15516,-1.23858,-1.58194,-1.98542,2.73242,1.03844,0.123232,-0.445704,0.882904,0.280297,0.787075,0.393512,0.383529
4,-1.16799,-1.2316,-1.57144,-2.00542,2.76107,1.04147,0.115894,-0.440192,0.89373,0.285219,0.776849,0.399978,0.393921
4.1,-1.17858,-1.22584,-1.56277,-2.02192,2.78473,1.04398,0.109858,-0.435485,0.902628,0.28915,0.768259,0.405171,0.402501
4.2,-1.18693,-1.2213,-1.55593,-2.03494,2.80338,1.04596,0.105113,-0.431675,0.909617,0.292163,0.761392,0.409174,0.409267
4.3,-1.19424,-1.21779,-1.55074,-2.04492,2.81775,1.04661,0.101095,-0.428774,0.914942,0.294442,0.756042,0.41185,0.41483
4.4,-1.20511,-1.2147,-1.54669,-2.05331,2.83014,1.04263,0.0957061,-0.426706,0.919296,0.296422,0.751368,0.412237,0.421474
4.5,-1.21908,-1.21234,-1.54422,-2.05927,2.83937,1.03384,0.0892362,-0.425693,0.922243,0.297941,0.747836,0.41002,0.428786
4.6,-1.23358,-1.21111,-1.54377,-2.06173,2.84377,1.02187,0.0828513,-0.425903,0.923263,0.298748,0.746104,0.405607,0.435386
4.7,-1.24703,-1.21109,-1.54527,-2.06065,2.84318,1.00819,0.0771864,-0.427251,0.922367,0.298815,0.746263,0.399643,0.440552
4.8,-1.25812,-1.21229,-1.54858,-2.05608,2.83758,0.99409,0.0727452,-0.429653,0.919619,0.298123,0.748318,0.392746,0.443727
4.9,-1.26533,-1.21466,-1.55347,-2.0483,2.82725,0.981248,0.070138,-0.432942,0.915189,0.296674,0.752158,0.385743,0.444348
5,-1.27095,-1.21816,-1.5601,-2.03726,2.8123,0.96744,0.0683498,-0.43728,0.908996,0.294479,0.757699,0.377715,0.443289
5.1,-1.27844,-1.22282,-1.56894,-2.02254,2.79235,0.949015,0.0658327,-0.442997,0.900703,0.29147,0.765016,0.367055,0.441662
5.2,-1.28781,-1.22865,-1.58,-2.00413,2.7674,0.925972,0.0624767,-0.450028,0.890284,0.287579,0.77404,0.353815,0.439289
5.3,-1.29903,-1.23562,-1.59323,-1.9821,2.73756,0.898411,0.0581635,-0.458256,0.877761,0.282744,0.784646,0.338126,0.435957
5.4,-1.31083,-1.24297,-1.60715,-1.95892,2.70614,0.869399,0.0532779,-0.466693,0.864514,0.277444,0.795582,0.321803,0.431876
5.5,-1.32263,-1.25031,-1.62108,-1.93573,2.67472,0.840387,0.0480461,-0.474891,0.851208,0.271934,0.806281,0.305699,0.427213
5.6,-1.33443,-1.25765,-1.635,-1.91255,2.64331,0.811375,0.0424764,-0.482837,0.837853,0.26622,0.816736,0.289834,0.421978
5.7,-1.34623,-1.26499,-1.64892,-1.88936,2.61189,0.782363,0.0365777,-0.490522,0.824456,0.260307,0.826943,0.274229,0.416177
5.8,-1.35803,-1.27233,-1.66285,-1.86618,2.58048,0.753351,0.030359,-0.497935,0.811027,0.2542,0.836897,0.258905,0.409823
5.9,-1.36983,-1.27967,-1.67677,-1.84299,2.54906,0.724338,0.0238298,-0.505066,0.797573,0.247906,0.846592,0.243882,0.402923
6,-1.38163,-1.28702,-1.6907,-1.81981,2.51764,0.695326,0.0170002,-0.511905,0.784103,0.24143,0.856023,0.229179,0.395491
6.1,-1.39343,-1.29436,-1.70462,-1.79662,2.48623,0.666314,0.00988026,-0.518444,0.770626,0.234778,0.865187,0.214816,0.387536
6.2,-1.40523,-1.3017,-1.71855,-1.77344,2.45481,0.637302,0.00248062,-0.524673,0.757149,0.227956,0.874079,0.200812,0.379073
6.3,-1.41704,-1.30904,-1.73247,-1.75025,2.4234,0.60829,-0.00518782,-0.530583,0.743682,0.220971,0.882695,0.187184,0.370114
6.4,-1.42884,-1.31638,-1.74639,-1.72707,2.39198,0.579278,-0.0131138,-0.536167,0.730231,0.213828,0.89103,0.173953,0.360672
6.5,-1.44064,-1.32372,-1.76032,-1.70388,2.36056,0.550266,-0.0212859,-0.541417,0.716806,0.206534,0.89908,0.161133,0.350763
6.6,-1.45244,-1.33107,-1.77424,-1.6807,2.32915,0.521253,-0.0296922,-0.546324,0.703415,0.199096,0.906842,0.148744,0.340402
6.7,-1.46424,-1.33841,-1.78817,-1.65751,2.29773,0.492241,-0.0383207,-0.550882,0.690065,0.191519,0.914313,0.1368,0.329604
6.8,-1.47604,-1.34575,-1.80209,-1.63433,2.26632,0.463229,-0.047159,-0.555085,0.676764,0.183811,0.921488,0.125319,0.318385
6.9,-1.48784,-1.35309,-1.81601,-1.61114,2.2349,0.434217,-0.0561946,-0.558926,0.66352,0.175978,0.928364,0.114314,0.306764
7,-1.49964,-1.36043,-1.82994,-1.58796,2.20348,0.405205,-0.0654145,-0.562398,0.650342,0.168027,0.934939,0.103801,0.294756
7.1,-1.51144,-1.36777,-1.84386,-1.56477,2.17207,0.376193,-0.0748059,-0.565498,0.637236,0.159964,0.941209,0.0937946,0.282381
7.2,-1.52324,-1.37512,-1.85779,-1.54159,2.14065,0.347181,-0.0843554,-0.56822,0.62421,0.151796,0.947172,0.0843069,0.269657
7.3,-1.53505,-1.38246,-1.87171,-1.5184,2.10924,0.318168,-0.0940497,-0.570559,0.611272,0.143531,0.952825,0.0753512,0.256602
7.4,-1.54685,-1.3898,-1.88563,-1.49522,2.07782,0.289156,-0.103875,-0.572511,0.59843,0.135176,0.958166,0.0669393,0.243237
7.5,-1.55865,-1.39714,-1.89956,-1.47203,2.04641,0.260144,-0.113818,-0.574073,0.585689,0.126736,0.963192,0.0590825,0.229581
7.6,-1.57045,-1.40448,-1.91348,-1.44885,2.01499,0.231132,-0.123865,-0.575242,0.573059,0.11822,0.967902,0.0517916,0.215655
7.7,-1.58225,-1.41182,-1.92741,-1.42566,1.98357,0.20212,-0.134001,-0.576016,0.560544,0.109634,0.972293,0.0450762,0.20148
7.8,-1.59405,-1.41916,-1.94133,-1.40248,1.95216,0.173108,-0.144213,-0.576391,0.548154,0.100986,0.976365,0.0389455,0.187076
7.9,-1.60585,-1.42651,-1.95526,-1.37929,1.92074,0.144095,-0.154486,-0.576367,0.535893,0.092282,0.980114,0.0334077,0.172465
8,-1.61765,-1.43385,-1.96918,-1.35611,1.88933,0.115083,-0.164807,-0.575942,0.52377,0.0835301,0.983541,0.0284705,0.15767
8.1,-1.62945,-1.44119,-1.9831,-1.33293,1.85791,0.0860712,-0.175161,-0.575116,0.51179,0.0747371,0.986643,0.0241406,0.142711
8.2,-1.64125,-1.44853,-1.99703,-1.30974,1.82649,0.057059,-0.185534,-0.573888,0.499959,0.0659104,0.989421,0.020424,0.127611
8.3,-1.65305,-1.45587,-2.01095,-1.28656,1.79508,0.0280469,-0.195911,-0.572259,0.488285,0.057057,0.991873,0.0173256,0.112393
8.4,-1.66486,-1.46321,-2.02488,-1.26337,1.76366,-0.000965267,-0.206279,-0.57023,0.476773,0.0481842,0.993999,0.01485,0.0970799
8.5,-1.67666,-1.47056,-2.0388,-1.24019,1.73225,-0.0299774,-0.216623,-0.567802,0.465429,0.0392992,0.995798,0.0130006,0.0816939
8.6,-1.68846,-1.4779,-2.05272,-1.217,1.70083,-0.0589896,-0.226929,-0.564977,0.454259,0.0304093,0.997269,0.01178,0.0662584
8.7,-1.69984,-1.48498,-2.06615,-1.19464,1.67053,-0.086972,-0.23682,-0.561878,0.443655,0.021837,0.998379,0.0112003,0.0513453
8.8,-1.70945,-1.49096,-2.07749,-1.17576,1.64495,-0.110592,-0.245122,-0.558978,0.434838,0.0146076,0.99908,0.0111682,0.0387536
8.9,-1.71718,-1.49576,-2.08661,-1.16058,1.62438,-0.129594,-0.251765,-0.556458,0.427835,0.00879853,0.999486,0.0114464,0.0286299
9,-1.72303,-1.4994,-2.09351,-1.14908,1.6088,-0.143979,-0.256769,-0.554439,0.422589,0.00440656,0.9997,0.0118373,0.0209745
9.1,-1.727,-1.50188,-2.0982,-1.14128,1.59822,-0.153746,-0.260154,-0.553015,0.419055,0.00142759,0.9998,0.0121911,0.015782
9.2,-1.7291,-1.50318,-2.10067,-1.13716,1.59265,-0.158896,-0.261934,-0.552246,0.4172,-0.000141954,0.999838,0.0124065,0.0130464
9.26153,-1.72945,-1.5034,-2.10109,-1.13646,1.5917,-0.159771,-0.262236,-0.552114,0.416886,-0.000408294,0.999843,0.012445,0.0125822
