time_from_start,shoulder_pan_joint_pos,shoulder_lift_joint_pos,elbow_joint_pos,wrist_1_joint_pos,wrist_2_joint_pos,wrist_3_joint_pos,shoulder_pan_joint_vel,shoulder_lift_joint_vel,elbow_joint_vel,wrist_1_joint_vel,wrist_2_joint_vel,wrist_3_joint_vel,shoulder_pan_joint_acc,shoulder_lift_joint_acc,elbow_joint_acc,wrist_1_joint_acc,wrist_2_joint_acc,wrist_3_joint_acc,fk_x,fk_y,fk_z,fk_qx,fk_qy,fk_qz,fk_qw
0.000000,-2.303714,-2.022749,-1.453655,-1.271406,1.572840,-0.733837,0.000469,0.000197,-0.000500,0.000309,0.000015,0.000469,0.468999,0.197316,-0.500000,0.309265,0.014828,0.468872,-0.746808,-0.569673,0.423355,-0.000441,0.999843,0.012473,0.012614
0.100000,-2.301369,-2.021763,-1.456155,-1.269859,1.572914,-0.731492,0.046900,0.019732,-0.050000,0.030926,0.001483,0.046887,0.468999,0.197316,-0.500000,0.309265,0.014828,0.468872,-0.744913,-0.570814,0.422806,-0.000441,0.999843,0.012465,0.012601
0.200000,-2.294334,-2.018803,-1.463655,-1.265220,1.573137,-0.724459,0.093800,0.039463,-0.100000,0.061853,0.002966,0.093774,0.468999,0.197316,-0.500000,0.309265,0.014828,0.468872,-0.739216,-0.574196,0.421158,-0.000440,0.999844,0.012443,0.012564
0.300000,-2.282609,-2.013870,-1.476155,-1.257489,1.573507,-0.712738,0.140700,0.059195,-0.150000,0.092779,0.004448,0.140662,0.468999,0.197316,-0.500000,0.309265,0.014828,0.468872,-0.729677,-0.579696,0.418409,-0.000438,0.999845,0.012406,0.012503
0.400000,-2.266194,-2.006964,-1.493655,-1.246664,1.574026,-0.696327,0.187600,0.078927,-0.200000,0.123706,0.005931,0.187549,0.468999,0.197316,-0.500000,0.309265,0.014828,0.468872,-0.716238,-0.587105,0.414556,-0.000436,0.999846,0.012355,0.012423
0.500000,-2.245759,-1.998366,-1.515441,-1.233189,1.574672,-0.675897,0.209440,0.088115,-0.223283,0.138107,0.006622,0.209383,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,-0.699381,-0.595853,0.409755,-0.000434,0.999848,0.012292,0.012331
0.600000,-2.224815,-1.989555,-1.537770,-1.219378,1.575335,-0.654959,0.209440,0.088115,-0.223283,0.138107,0.006622,0.209383,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.681975,-0.604269,0.404829,-0.000431,0.999850,0.012230,0.012244
0.700000,-2.203871,-1.980743,-1.560098,-1.205568,1.575997,-0.634021,0.209440,0.088115,-0.223283,0.138107,0.006622,0.209383,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.664458,-0.612126,0.399899,-0.000429,0.999852,0.012169,0.012165
0.800000,-2.182927,-1.971932,-1.582426,-1.191757,1.576659,-0.613082,0.209440,0.088115,-0.223283,0.138107,0.006622,0.209383,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.646846,-0.619423,0.394966,-0.000426,0.999853,0.012111,0.012094
0.900000,-2.161983,-1.963120,-1.604755,-1.177946,1.577321,-0.592144,0.209440,0.088115,-0.223283,0.138107,0.006622,0.209383,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,-0.629158,-0.626159,0.390031,-0.000424,0.999855,0.012055,0.012030
1.000000,-2.141039,-1.954309,-1.627083,-1.164135,1.577983,-0.571206,0.209440,0.088115,-0.223283,0.138107,0.006622,0.209383,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.611413,-0.632334,0.385095,-0.000422,0.999856,0.012001,0.011974
1.100000,-2.120095,-1.945497,-1.649411,-1.150325,1.578645,-0.550268,0.209440,0.088115,-0.223283,0.138107,0.006622,0.209383,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.593629,-0.637947,0.380160,-0.000420,0.999857,0.011951,0.011926
1.200000,-2.099151,-1.936686,-1.671740,-1.136514,1.579308,-0.529329,0.209440,0.088115,-0.223283,0.138107,0.006622,0.209383,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.575823,-0.642999,0.375226,-0.000418,0.999858,0.011904,0.011885
1.300000,-2.078207,-1.927875,-1.694068,-1.122703,1.579970,-0.508391,0.209440,0.088115,-0.223283,0.138107,0.006622,0.209383,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.558015,-0.647493,0.370295,-0.000416,0.999859,0.011861,0.011851
1.400000,-2.057264,-1.919063,-1.716396,-1.108892,1.580632,-0.487453,0.209440,0.088115,-0.223283,0.138107,0.006622,0.209383,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.540222,-0.651429,0.365368,-0.000414,0.999860,0.011822,0.011824
1.500000,-2.036320,-1.910252,-1.738725,-1.095082,1.581294,-0.466515,0.209440,0.088115,-0.223283,0.138107,0.006622,0.209383,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,-0.522461,-0.654810,0.360445,-0.000412,0.999861,0.011787,0.011803
1.600000,-2.015376,-1.901440,-1.761053,-1.081271,1.581956,-0.445576,0.209440,0.088115,-0.223283,0.138107,0.006622,0.209383,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,-0.504752,-0.657641,0.355529,-0.000411,0.999861,0.011756,0.011789
1.700000,-1.994432,-1.892629,-1.783381,-1.067460,1.582618,-0.424638,0.209440,0.088115,-0.223283,0.138107,0.006622,0.209383,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,-0.487112,-0.659923,0.350619,-0.000409,0.999862,0.011731,0.011782
1.800000,-1.973488,-1.883817,-1.805710,-1.053649,1.583280,-0.403700,0.209440,0.088115,-0.223283,0.138107,0.006622,0.209383,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,-0.469558,-0.661662,0.345718,-0.000408,0.999862,0.011710,0.011780
1.900000,-1.952544,-1.875006,-1.828038,-1.039839,1.583943,-0.382761,0.209440,0.088115,-0.223283,0.138107,0.006622,0.209383,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,-0.452108,-0.662863,0.340826,-0.000407,0.999862,0.011694,0.011785
