time_from_start,shoulder_pan_joint,shoulder_lift_joint,elbow_joint,wrist_1_joint,wrist_2_joint,wrist_3_joint,pose_x,pose_y,pose_z,pose_qx,pose_qy,pose_qz,pose_qw
0,-0.614163,-1.6186,-1.88605,-1.20127,1.60576,0.955727,0.461134,-0.533267,0.474025,-0.000509653,0.999842,0.0124167,0.0127235
0.1,-0.612522,-1.61827,-1.88554,-1.19877,1.60373,0.955589,0.462162,-0.532907,0.474875,-0.00142279,0.999851,0.0106344,0.0134907
0.2,-0.6076,-1.61729,-1.88402,-1.19127,1.59762,0.955177,0.465237,-0.531811,0.477436,-0.00414185,0.999852,0.00529407,0.0158083
0.3,-0.599397,-1.61565,-1.88148,-1.17877,1.58745,0.954489,0.470335,-0.529925,0.481741,-0.00860515,0.999762,-0.00358323,0.0197245
0.4,-0.587912,-1.61336,-1.87793,-1.16127,1.5732,0.953526,0.477411,-0.527165,0.487844,-0.0147077,0.999444,-0.0159592,0.0253188
0.5,-0.573146,-1.61042,-1.87337,-1.13877,1.55489,0.952289,0.486397,-0.523408,0.495817,-0.0222982,0.998711,-0.0317733,0.0327005
0.6,-0.555099,-1.60682,-1.86779,-1.11127,1.5325,0.950776,0.497193,-0.5185,0.50575,-0.0311749,0.997331,-0.0509359,0.0420069
0.7,-0.53377,-1.60257,-1.8612,-1.07877,1.50605,0.948988,0.509662,-0.512255,0.517746,-0.0410806,0.99503,-0.0733202,0.0534
0.8,-0.50916,-1.59766,-1.85359,-1.04127,1.47552,0.946925,0.523615,-0.504459,0.531916,-0.0516982,0.991503,-0.0987511,0.067062
0.9,-0.481268,-1.5921,-1.84497,-0.998773,1.44093,0.944587,0.538808,-0.494873,0.548371,-0.0626449,0.986422,-0.126994,0.0831893
1,-0.450095,-1.58589,-1.83534,-0.951273,1.40226,0.941974,0.554923,-0.483248,0.567213,-0.0734687,0.979448,-0.157743,0.101984
1.1,-0.415641,-1.57902,-1.82469,-0.898773,1.35953,0.939085,0.57156,-0.469333,0.588524,-0.0836457,0.97025,-0.190605,0.123644
1.2,-0.377905,-1.57149,-1.81303,-0.841273,1.31272,0.935922,0.58823,-0.452894,0.612351,-0.0925797,0.958518,-0.225089,0.148346
1.3,-0.336888,-1.56331,-1.80035,-0.778773,1.26185,0.932484,0.604347,-0.433737,0.638689,-0.0996057,0.943987,-0.260593,0.176236
1.4,-0.29259,-1.55448,-1.78666,-0.711273,1.2069,0.92877,0.619232,-0.411738,0.667457,-0.103998,0.926457,-0.29639,0.207401
1.5,-0.24501,-1.545,-1.77195,-0.638773,1.14789,0.924782,0.632125,-0.38687,0.698482,-0.104983,0.905821,-0.331627,0.241848
1.6,-0.194149,-1.53486,-1.75623,-0.561273,1.0848,0.920518,0.642209,-0.359241,0.731474,-0.101761,0.882089,-0.365313,0.279481
