time_from_start,shoulder_pan_joint_pos,shoulder_lift_joint_pos,elbow_joint_pos,wrist_1_joint_pos,wrist_2_joint_pos,wrist_3_joint_pos,shoulder_pan_joint_vel,shoulder_lift_joint_vel,elbow_joint_vel,wrist_1_joint_vel,wrist_2_joint_vel,wrist_3_joint_vel,shoulder_pan_joint_acc,shoulder_lift_joint_acc,elbow_joint_acc,wrist_1_joint_acc,wrist_2_joint_acc,wrist_3_joint_acc,pose_x,pose_y,pose_z,pose_qx,pose_qy,pose_qz,pose_qw
0.000000,-0.650872,-1.513085,-1.995053,-1.199278,1.605823,0.919213,-0.000286,0.000034,0.000500,0.000050,-0.000120,0.000385,-0.285924,0.034190,0.500000,0.049613,-0.120098,0.385402,0.389145,-0.510139,0.471660,-0.000399,0.999843,0.012421,0.012593
0.100000,-0.652302,-1.512914,-1.992553,-1.199030,1.605223,0.921140,-0.028592,0.003419,0.050000,0.004961,-0.012010,0.038540,-0.285924,0.034190,0.500000,0.049613,-0.120098,0.385402,0.388992,-0.511223,0.473429,0.001255,0.999843,0.011301,0.013568
0.200000,-0.656590,-1.512401,-1.985053,-1.198286,1.603421,0.926921,-0.057185,0.006838,0.100000,0.009923,-0.024020,0.077080,-0.285924,0.034190,0.500000,0.049613,-0.120098,0.385402,0.388494,-0.514461,0.478752,0.006221,0.999813,0.007944,0.016499
0.300000,-0.663739,-1.511546,-1.972553,-1.197045,1.600419,0.936556,-0.085777,0.010257,0.150000,0.014884,-0.036029,0.115621,-0.285924,0.034190,0.500000,0.049613,-0.120098,0.385402,0.387543,-0.519808,0.487672,0.014514,0.999663,0.002358,0.021394
0.400000,-0.673746,-1.510350,-1.955053,-1.195309,1.596215,0.950045,-0.114370,0.013676,0.200000,0.019845,-0.048039,0.154161,-0.285924,0.034190,0.500000,0.049613,-0.120098,0.385402,0.385955,-0.527188,0.500259,0.026155,0.999243,-0.005442,0.028270
0.500000,-0.686612,-1.508811,-1.932553,-1.193076,1.590811,0.967388,-0.142962,0.017095,0.250000,0.024807,-0.060049,0.192701,-0.285924,0.034190,0.500000,0.049613,-0.120098,0.385402,0.383478,-0.536480,0.516603,0.041167,0.998342,-0.015434,0.037146
0.600000,-0.702338,-1.506931,-1.905053,-1.190348,1.584205,0.988585,-0.171554,0.020514,0.300000,0.029768,-0.072059,0.231241,-0.285924,0.034190,0.500000,0.049613,-0.120098,0.385402,0.379793,-0.547513,0.536814,0.059567,0.996685,-0.027585,0.048050
0.700000,-0.720189,-1.504796,-1.873838,-1.187250,1.576708,1.012646,-0.179651,0.021482,0.314159,0.031173,-0.075460,0.242155,-0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.374746,-0.559567,0.560047,0.080498,0.994060,-0.041292,0.060497
0.800000,-0.738154,-1.502648,-1.842422,-1.184133,1.569162,1.036862,-0.179651,0.021482,0.314159,0.031173,-0.075460,0.242155,-0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.368756,-0.571148,0.583714,0.101579,0.990613,-0.054987,0.073096
0.900000,-0.756119,-1.500500,-1.811006,-1.181016,1.561616,1.061077,-0.179651,0.021482,0.314159,0.031173,-0.075460,0.242155,0.000000,-0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.361874,-0.582132,0.607640,0.122645,0.986357,-0.068573,0.085762
1.000000,-0.774084,-1.498352,-1.779590,-1.177898,1.554070,1.085293,-0.179651,0.021482,0.314159,0.031173,-0.075460,0.242155,0.000000,-0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.354124,-0.592472,0.631796,0.143663,0.981290,-0.082044,0.098492
