time_from_start,shoulder_pan_joint_pos,shoulder_lift_joint_pos,elbow_joint_pos,wrist_1_joint_pos,wrist_2_joint_pos,wrist_3_joint_pos,shoulder_pan_joint_vel,shoulder_lift_joint_vel,elbow_joint_vel,wrist_1_joint_vel,wrist_2_joint_vel,wrist_3_joint_vel,shoulder_pan_joint_acc,shoulder_lift_joint_acc,elbow_joint_acc,wrist_1_joint_acc,wrist_2_joint_acc,wrist_3_joint_acc,pose_x,pose_y,pose_z,pose_qx,pose_qy,pose_qz,pose_qw
0.000000,-2.365065,-1.547784,-1.787456,-1.412468,1.570382,-0.795069,-0.000500,0.000020,0.000070,-0.000077,-0.000005,-0.000500,-0.499987,0.020131,0.069844,-0.077131,-0.004624,-0.500000,-0.594623,-0.339970,0.562540,-0.000404,0.999844,0.012518,0.012457
0.100000,-2.367565,-1.547683,-1.787107,-1.412854,1.570359,-0.797569,-0.049999,0.002013,0.006984,-0.007713,-0.000462,-0.050000,-0.499987,0.020131,0.069844,-0.077131,-0.004624,-0.500000,-0.595470,-0.338477,0.562798,-0.000404,0.999845,0.012473,0.012457
0.200000,-2.375065,-1.547381,-1.786059,-1.414011,1.570290,-0.805069,-0.099997,0.004026,0.013969,-0.015426,-0.000925,-0.100000,-0.499987,0.020131,0.069844,-0.077131,-0.004624,-0.500000,-0.597987,-0.333986,0.563573,-0.000405,0.999846,0.012337,0.012457
0.300000,-2.387564,-1.546878,-1.784313,-1.415939,1.570174,-0.817569,-0.149996,0.006039,0.020953,-0.023139,-0.001387,-0.150000,-0.499987,0.020131,0.069844,-0.077131,-0.004624,-0.500000,-0.602106,-0.326458,0.564865,-0.000406,0.999849,0.012113,0.012453
0.400000,-2.405064,-1.546174,-1.781868,-1.418638,1.570012,-0.835069,-0.199995,0.008052,0.027938,-0.030852,-0.001850,-0.200000,-0.499987,0.020131,0.069844,-0.077131,-0.004624,-0.500000,-0.607708,-0.315830,0.566675,-0.000407,0.999853,0.011802,0.012442
0.500000,-2.425919,-1.545334,-1.778955,-1.421856,1.569819,-0.855924,-0.209440,0.008433,0.029257,-0.032309,-0.001937,-0.209445,-0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.614135,-0.303035,0.568833,-0.000409,0.999857,0.011437,0.012420
0.600000,-2.446863,-1.544491,-1.776030,-1.425087,1.569625,-0.876869,-0.209440,0.008433,0.029257,-0.032309,-0.001937,-0.209445,-0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.620311,-0.290049,0.571001,-0.000411,0.999862,0.011077,0.012389
0.700000,-2.467807,-1.543647,-1.773104,-1.428318,1.569432,-0.897813,-0.209440,0.008433,0.029257,-0.032309,-0.001937,-0.209445,-0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.626207,-0.276932,0.573170,-0.000413,0.999866,0.010723,0.012347
0.800000,-2.488751,-1.542804,-1.770178,-1.431548,1.569238,-0.918758,-0.209440,0.008433,0.029257,-0.032309,-0.001937,-0.209445,-0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.631820,-0.263690,0.575340,-0.000414,0.999870,0.010376,0.012296
0.900000,-2.509694,-1.541961,-1.767252,-1.434779,1.569044,-0.939702,-0.209440,0.008433,0.029257,-0.032309,-0.001937,-0.209445,-0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.637145,-0.250330,0.577511,-0.000416,0.999875,0.010035,0.012237
1.000000,-2.530638,-1.541118,-1.764327,-1.438010,1.568851,-0.960647,-0.209440,0.008433,0.029257,-0.032309,-0.001937,-0.209445,-0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.642182,-0.236858,0.579683,-0.000417,0.999879,0.009702,0.012168
1.100000,-2.551582,-1.540274,-1.761401,-1.441241,1.568657,-0.981591,-0.209440,0.008433,0.029257,-0.032309,-0.001937,-0.209445,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,-0.646927,-0.223280,0.581856,-0.000419,0.999883,0.009376,0.012091
1.200000,-2.572526,-1.539431,-1.758475,-1.444472,1.568463,-1.002536,-0.209440,0.008433,0.029257,-0.032309,-0.001937,-0.209445,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,-0.651379,-0.209603,0.584030,-0.000420,0.999887,0.009057,0.012006
1.300000,-2.593470,-1.538588,-1.755550,-1.447703,1.568270,-1.023480,-0.209440,0.008433,0.029257,-0.032309,-0.001937,-0.209445,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,-0.655535,-0.195834,0.586205,-0.000422,0.999891,0.008747,0.011913
1.400000,-2.614414,-1.537745,-1.752624,-1.450934,1.568076,-1.044425,-0.209440,0.008433,0.029257,-0.032309,-0.001937,-0.209445,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,-0.659393,-0.181978,0.588380,-0.000423,0.999894,0.008444,0.011813
1.500000,-2.635358,-1.536901,-1.749698,-1.454165,1.567882,-1.065369,-0.209440,0.008433,0.029257,-0.032309,-0.001937,-0.209445,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,-0.662950,-0.168043,0.590557,-0.000424,0.999898,0.008149,0.011705
1.600000,-2.656302,-1.536058,-1.746773,-1.457396,1.567688,-1.086314,-0.209440,0.008433,0.029257,-0.032309,-0.001937,-0.209445,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,-0.666207,-0.154035,0.592734,-0.000426,0.999902,0.007862,0.011590
1.700000,-2.677246,-1.535215,-1.743847,-1.460627,1.567495,-1.107258,-0.209440,0.008433,0.029257,-0.032309,-0.001937,-0.209445,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,-0.669160,-0.139961,0.594912,-0.000427,0.999905,0.007584,0.011468
1.800000,-2.698190,-1.534372,-1.740921,-1.463858,1.567301,-1.128203,-0.209440,0.008433,0.029257,-0.032309,-0.001937,-0.209445,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,-0.671809,-0.125827,0.597090,-0.000428,0.999909,0.007314,0.011340
1.900000,-2.719134,-1.533528,-1.737996,-1.467089,1.567107,-1.149147,-0.209440,0.008433,0.029257,-0.032309,-0.001937,-0.209445,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,-0.674152,-0.111640,0.599270,-0.000429,0.999912,0.007053,0.011205
2.000000,-2.740078,-1.532685,-1.735070,-1.470320,1.566914,-1.170092,-0.209440,0.008433,0.029257,-0.032309,-0.001937,-0.209445,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,-0.676188,-0.097408,0.601449,-0.000430,0.999916,0.006801,0.011065
2.100000,-2.761022,-1.531842,-1.732144,-1.473551,1.566720,-1.191036,-0.209440,0.008433,0.029257,-0.032309,-0.001937,-0.209445,-0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.677917,-0.083136,0.603630,-0.000431,0.999919,0.006558,0.010919
2.200000,-2.781966,-1.530998,-1.729218,-1.476782,1.566526,-1.211981,-0.209440,0.008433,0.029257,-0.032309,-0.001937,-0.209445,-0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.679336,-0.068831,0.605811,-0.000432,0.999922,0.006324,0.010769
2.300000,-2.802910,-1.530155,-1.726293,-1.480013,1.566332,-1.232925,-0.209440,0.008433,0.029257,-0.032309,-0.001937,-0.209445,-0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.680447,-0.054501,0.607993,-0.000433,0.999925,0.006099,0.010613
