shoulder_pan_joint,shoulder_lift_joint,elbow_joint,wrist_1_joint,wrist_2_joint,wrist_3_joint
-1.75988,-1.52796,-1.33198,-1.18729,1.99181,-0.402552
-1.786,-1.52789,-1.32933,-1.18612,1.99417,-0.430122
-1.8226,-1.52661,-1.36243,-1.18197,1.97838,-0.45864
-1.83015,-1.52539,-1.39888,-1.17909,1.95975,-0.456378
-1.72939,-1.50334,-2.10108,-1.1364,1.59157,-0.159888
