shoulder_pan_joint,shoulder_lift_joint,elbow_joint,wrist_1_joint,wrist_2_joint,wrist_3_joint
-2.6839,-1.18759,-1.27782,0.895232,1.92871,1.88928
-2.67393,-1.18536,-1.26992,0.909569,1.93148,1.92194
-2.64191,-1.18807,-1.27399,0.892155,1.92916,1.93034
-0.650872,-1.51309,-1.99505,-1.19928,1.60582,0.919213
