time_from_start,shoulder_pan_joint_pos,shoulder_lift_joint_pos,elbow_joint_pos,wrist_1_joint_pos,wrist_2_joint_pos,wrist_3_joint_pos,shoulder_pan_joint_vel,shoulder_lift_joint_vel,elbow_joint_vel,wrist_1_joint_vel,wrist_2_joint_vel,wrist_3_joint_vel,shoulder_pan_joint_acc,shoulder_lift_joint_acc,elbow_joint_acc,wrist_1_joint_acc,wrist_2_joint_acc,wrist_3_joint_acc,fk_x,fk_y,fk_z,fk_qx,fk_qy,fk_qz,fk_qw
0.000000,-1.600700,-1.727100,-2.203000,-0.808000,1.595100,-0.031000,-0.000500,-0.000052,0.000262,-0.000215,-0.000016,-0.000500,-0.500000,-0.051887,0.262187,-0.215233,-0.016349,-0.499693,-0.189632,-0.609684,0.260971,-0.000392,0.999843,0.012478,0.012536
0.100000,-1.603200,-1.727359,-2.201689,-0.809076,1.595018,-0.033498,-0.050000,-0.005189,0.026219,-0.021523,-0.001635,-0.049969,-0.500000,-0.051887,0.262187,-0.215233,-0.016349,-0.499693,-0.191183,-0.609787,0.261367,-0.000391,0.999844,0.012461,0.012527
0.200000,-1.610700,-1.728138,-2.197756,-0.812305,1.594773,-0.040994,-0.100000,-0.010377,0.052437,-0.043047,-0.003270,-0.099939,-0.500000,-0.051887,0.262187,-0.215233,-0.016349,-0.499693,-0.195849,-0.610071,0.262558,-0.000390,0.999845,0.012408,0.012499
0.300000,-1.623200,-1.729435,-2.191202,-0.817685,1.594364,-0.053486,-0.150000,-0.015566,0.078656,-0.064570,-0.004905,-0.149908,-0.500000,-0.051887,0.262187,-0.215233,-0.016349,-0.499693,-0.203658,-0.610456,0.264550,-0.000388,0.999846,0.012324,0.012452
0.400000,-1.640700,-1.731251,-2.182025,-0.825219,1.593792,-0.070975,-0.200000,-0.020755,0.104875,-0.086093,-0.006540,-0.199877,-0.500000,-0.051887,0.262187,-0.215233,-0.016349,-0.499693,-0.214657,-0.610807,0.267356,-0.000386,0.999849,0.012210,0.012387
0.500000,-1.661555,-1.733415,-2.171089,-0.834196,1.593110,-0.091817,-0.209440,-0.021734,0.109824,-0.090156,-0.006848,-0.209311,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,-0.227859,-0.610935,0.270725,-0.000383,0.999851,0.012083,0.012308
0.600000,-1.682499,-1.735589,-2.160107,-0.843212,1.592425,-0.112749,-0.209440,-0.021734,0.109824,-0.090156,-0.006848,-0.209311,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.241212,-0.610743,0.274137,-0.000380,0.999854,0.011963,0.012230
0.700000,-1.703443,-1.737762,-2.149124,-0.852227,1.591740,-0.133680,-0.209440,-0.021734,0.109824,-0.090156,-0.006848,-0.209311,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.254653,-0.610225,0.277576,-0.000377,0.999856,0.011853,0.012152
0.800000,-1.724387,-1.739936,-2.138142,-0.861243,1.591056,-0.154611,-0.209440,-0.021734,0.109824,-0.090156,-0.006848,-0.209311,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.268173,-0.609377,0.281042,-0.000374,0.999858,0.011750,0.012075
0.900000,-1.745331,-1.742109,-2.127160,-0.870258,1.590371,-0.175542,-0.209440,-0.021734,0.109824,-0.090156,-0.006848,-0.209311,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.281762,-0.608196,0.284536,-0.000371,0.999860,0.011656,0.011999
