pose_x,pose_y,pose_z,pose_qx,pose_qy,pose_qz,pose_qw
-0.66916,-0.139961,0.594912,-0.000426725,0.999905,0.00758396,0.0114679
-0.678166,0.0602411,0.625464,-0.000437746,0.999947,0.00464205,0.00922903
-0.627232,0.253438,0.656072,-0.000438548,0.999972,0.0035824,0.00660477
-0.512031,0.43235,0.688836,-0.000428066,0.999981,0.00438905,0.00434654
-0.359137,0.556881,0.719296,-0.000407698,0.999973,0.00646701,0.00352707
-0.164054,0.631967,0.751707,-0.000374535,0.999946,0.00927876,0.00458012
0.0421318,0.640074,0.783785,-0.000329641,0.999902,0.0116596,0.00779167
0.226842,0.586746,0.813714,-0.000276411,0.999842,0.0125535,0.0125524
