time_from_start,shoulder_pan_joint,shoulder_lift_joint,elbow_joint,wrist_1_joint,wrist_2_joint,wrist_3_joint,pose_x,pose_y,pose_z,pose_qx,pose_qy,pose_qz,pose_qw
0,-1.72939,-1.50328,-2.10113,-1.13638,1.59157,-0.159944,-0.262212,-0.552098,0.416942,-0.000527561,0.999845,0.0123724,0.0125066
0.1,-1.73084,-1.50365,-2.09863,-1.13854,1.59153,-0.161396,-0.263141,-0.552469,0.418048,-0.000527157,0.999845,0.0123697,0.0125047
0.2,-1.7352,-1.50473,-2.09113,-1.14503,1.59139,-0.165751,-0.265934,-0.553558,0.421372,-0.000525948,0.999845,0.0123618,0.0124992
0.3,-1.74247,-1.50654,-2.07863,-1.15584,1.59117,-0.173009,-0.270612,-0.555296,0.426934,-0.000523944,0.999846,0.0123493,0.0124903
0.4,-1.75264,-1.50908,-2.06113,-1.17097,1.59086,-0.18317,-0.277211,-0.557566,0.434764,-0.000521161,0.999846,0.0123331,0.0124787
0.5,-1.76571,-1.51234,-2.03863,-1.19043,1.59047,-0.196235,-0.28577,-0.560204,0.444903,-0.000517621,0.999846,0.0123146,0.0124652
0.6,-1.78169,-1.51632,-2.01113,-1.21422,1.58998,-0.212203,-0.296334,-0.562995,0.457401,-0.000513353,0.999847,0.0122951,0.012451
0.7,-1.79983,-1.52084,-1.97991,-1.24121,1.58943,-0.230328,-0.308441,-0.565579,0.47172,-0.000508587,0.999847,0.0122774,0.0124381
0.8,-1.81809,-1.52539,-1.9485,-1.26838,1.58888,-0.24857,-0.320723,-0.567548,0.486262,-0.000503874,0.999847,0.012264,0.0124286
0.9,-1.83634,-1.52994,-1.91708,-1.29555,1.58832,-0.266811,-0.333078,-0.568878,0.500926,-0.000499246,0.999848,0.012255,0.0124229
1,-1.8546,-1.53449,-1.88566,-1.32272,1.58777,-0.285053,-0.345477,-0.569568,0.515702,-0.000494702,0.999848,0.0122502,0.012421
1.1,-1.87286,-1.53904,-1.85425,-1.34989,1.58721,-0.303295,-0.357894,-0.569613,0.530578,-0.000490243,0.999848,0.0122494,0.0124232
1.2,-1.89111,-1.54359,-1.82283,-1.37706,1.58666,-0.321537,-0.370301,-0.569014,0.545544,-0.000485867,0.999848,0.0122526,0.0124296
1.3,-1.90937,-1.54814,-1.79142,-1.40423,1.5861,-0.339778,-0.382672,-0.567771,0.56059,-0.000481577,0.999847,0.0122596,0.0124403
1.4,-1.92763,-1.55269,-1.76,-1.4314,1.58555,-0.35802,-0.394979,-0.565886,0.575705,-0.00047737,0.999847,0.0122702,0.0124554
1.5,-1.94588,-1.55724,-1.72859,-1.45857,1.58499,-0.376262,-0.407195,-0.56336,0.590877,-0.000473248,0.999847,0.0122842,0.0124752
1.6,-1.96414,-1.56179,-1.69717,-1.48574,1.58444,-0.394504,-0.419293,-0.560199,0.606095,-0.00046921,0.999846,0.0123015,0.0124997
1.7,-1.98235,-1.56633,-1.66583,-1.51284,1.58389,-0.412698,-0.431217,-0.556417,0.62131,-0.000465267,0.999845,0.0123219,0.0125289
1.8,-1.99863,-1.57039,-1.63782,-1.53707,1.58339,-0.428965,-0.441734,-0.55251,0.634934,-0.000461813,0.999845,0.0123425,0.0125593
1.9,-2.012,-1.57372,-1.61481,-1.55697,1.58299,-0.442328,-0.45026,-0.548933,0.646135,-0.000459025,0.999844,0.0123612,0.0125872
2,-2.02247,-1.57633,-1.59679,-1.57255,1.58267,-0.452789,-0.456854,-0.545903,0.654906,-0.000456875,0.999844,0.0123768,0.012611
2.1,-2.03004,-1.57822,-1.58378,-1.58381,1.58244,-0.460346,-0.461573,-0.54359,0.661242,-0.000455338,0.999843,0.0123886,0.0126293
2.2,-2.03469,-1.57938,-1.57576,-1.59074,1.5823,-0.464999,-0.464458,-0.542114,0.665144,-0.000454399,0.999843,0.0123961,0.012641
2.3,-2.03645,-1.57982,-1.57275,-1.59335,1.58224,-0.46675,-0.465539,-0.541549,0.666611,-0.000454048,0.999843,0.0123989,0.0126455
2.31029,-2.03646,-1.57982,-1.57272,-1.59337,1.58224,-0.466765,-0.465549,-0.541544,0.666624,-0.000454045,0.999843,0.012399,0.0126455
